scenario_id,policy_name,bulk_pressure,urgent_arrival_phase,urgent_tightness,seed,status,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,bulk_n,bulk_slo_success_rate,urgent_n,urgent_slo_success_rate,peak_kv_utilization,steps_over_reserve_threshold,n_steps,n_reserve_deferrals
kvp1.bulk14.phaseearly.tighttight.s20260903,least_laxity_first,high,early,tight,20260903,success,0.85,0.85,1.0,14,0.9285714285714286,6,0.6666666666666666,1.108,1602,1797,0
kvp1.bulk14.phaseearly.tighttight.s20260903,kv_constrained_online,high,early,tight,20260903,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0593333333333332,1104,2043,394
kvp1.bulk14.phaseearly.tighttight.s20260904,least_laxity_first,high,early,tight,20260904,success,0.75,0.75,1.0,14,0.9285714285714286,6,0.3333333333333333,1.1233333333333333,1733,2087,0
kvp1.bulk14.phaselate.tightloose.s20260901,least_laxity_first,high,late,loose,20260901,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0678333333333334,1661,1885,0
kvp1.bulk14.phaseearly.tighttight.s20260904,kv_constrained_online,high,early,tight,20260904,success,0.9,0.9,1.0,14,0.8571428571428571,6,1.0,1.0293333333333334,967,2584,274
kvp1.bulk14.phaselate.tightloose.s20260903,least_laxity_first,high,late,loose,20260903,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.144,1438,1851,0
kvp1.bulk14.phaselate.tightloose.s20260902,kv_constrained_online,high,late,loose,20260902,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.031,834,1950,2120
kvp1.bulk14.phaselate.tightloose.s20260901,kv_constrained_online,high,late,loose,20260901,success,0.9,0.9,1.0,14,0.8571428571428571,6,1.0,1.006,748,2503,2566
kvp1.bulk14.phaselate.tightloose.s20260903,kv_constrained_online,high,late,loose,20260903,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0611666666666666,819,2097,2886
kvp1.bulk14.phaselate.tightloose.s20260902,least_laxity_first,high,late,loose,20260902,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0818333333333334,798,1915,0
kvp1.bulk14.phaselate.tightloose.s20260904,least_laxity_first,high,late,loose,20260904,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.1093333333333333,1688,2029,0
kvp1.bulk14.phaselate.tighttight.s20260902,kv_constrained_online,high,late,tight,20260902,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0153333333333334,816,1931,129
kvp1.bulk14.phaselate.tighttight.s20260901,least_laxity_first,high,late,tight,20260901,success,0.75,0.75,1.0,14,0.9285714285714286,6,0.3333333333333333,1.0678333333333334,1661,1885,0
kvp1.bulk14.phaselate.tighttight.s20260902,least_laxity_first,high,late,tight,20260902,success,0.85,0.85,1.0,14,0.9285714285714286,6,0.6666666666666666,1.0818333333333334,798,1915,0
kvp1.bulk14.phaselate.tightloose.s20260904,kv_constrained_online,high,late,loose,20260904,success,0.9,0.9,1.0,14,0.8571428571428571,6,1.0,1.0225,1016,2448,868
kvp1.bulk14.phaselate.tighttight.s20260901,kv_constrained_online,high,late,tight,20260901,success,0.8,0.8,1.0,14,0.7142857142857143,6,1.0,1.0375,668,2604,464
kvp1.bulk14.phaselate.tighttight.s20260903,kv_constrained_online,high,late,tight,20260903,success,0.85,0.85,1.0,14,0.9285714285714286,6,0.6666666666666666,1.1681666666666666,1112,1943,590
kvp1.bulk14.phaselate.tighttight.s20260903,least_laxity_first,high,late,tight,20260903,success,0.75,0.75,1.0,14,0.9285714285714286,6,0.3333333333333333,1.144,1438,1851,0
kvp1.bulk14.phaselate.tighttight.s20260904,least_laxity_first,high,late,tight,20260904,success,0.65,0.65,1.0,14,0.9285714285714286,6,0.0,1.1093333333333333,1688,2029,0
kvp1.bulk14.phaselate.tighttight.s20260904,kv_constrained_online,high,late,tight,20260904,success,0.9,0.9,1.0,14,0.8571428571428571,6,1.0,1.1148333333333333,844,2558,314
