scenario_id,policy_id,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,max_decode_tokens_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturated_steps,budget_saturation_fraction,n_steps,max_waiting_queue,mean_waiting_queue
joint_mm_0216,least_laxity_first,17,108,17,13,21,38,32,0.022099447513812154,1448,41,17.67610497237569
joint_mm_0216,kv_constrained_online,16,99,16,13,5,9,28,0.016317016317016316,1716,32,8.052447552447552
joint_mm_0217,full_prefill,0,0,0,0,0,0,87,0.013583138173302109,6405,32,17.660265417642467
joint_mm_0217,chunked_prefill_small,0,0,0,0,0,0,0,0.0,6834,34,18.053848405033655
joint_mm_0217,estimated_service_time_first,18,18,18,1,0,0,27,0.00416602376176516,6481,29,15.146119426014504
joint_mm_0217,weighted_fair_share,0,0,0,0,0,0,1,0.00015576323987538941,6420,28,15.275389408099688
joint_mm_0217,least_laxity_first,0,0,0,0,0,0,1,0.00015845349389954048,6311,35,20.376643954999206
joint_mm_0217,kv_constrained_online,2,4,2,2,0,0,11,0.0017038413878562577,6456,31,15.576982651796778
joint_mm_0218,full_prefill,3,3,3,1,2,3,4,0.003755868544600939,1065,31,12.218779342723005
joint_mm_0218,chunked_prefill_small,0,0,0,0,0,0,0,0.0,1052,32,11.576045627376425
joint_mm_0218,estimated_service_time_first,3,4,3,2,0,0,5,0.004370629370629371,1144,28,6.859265734265734
joint_mm_0218,weighted_fair_share,2,3,2,2,1,1,5,0.004302925989672977,1162,25,6.7134251290877796
joint_mm_0218,least_laxity_first,2,5,2,3,1,1,3,0.0030181086519114686,994,35,16.788732394366196
joint_mm_0218,kv_constrained_online,2,2,2,1,1,1,4,0.003629764065335753,1102,30,7.310344827586207
joint_mm_0219,full_prefill,0,0,0,0,87,110,485,0.21365638766519823,2270,56,23.663436123348017
joint_mm_0219,chunked_prefill_small,0,0,0,0,0,0,10,0.003755163349605708,2663,57,24.43372136687946
joint_mm_0219,estimated_service_time_first,305,614,305,3,77,92,484,0.2009132420091324,2409,50,15.861353258613532
joint_mm_0219,weighted_fair_share,298,570,298,3,78,93,483,0.19901112484548825,2427,46,14.451174289245984
joint_mm_0219,least_laxity_first,306,630,306,3,114,147,482,0.20668953687821612,2332,63,33.997427101200685
joint_mm_0219,kv_constrained_online,350,673,350,3,47,62,482,0.19388576025744167,2486,50,16.738535800482705
joint_mm_0220,full_prefill,0,0,0,0,25,31,194,0.057841383422778773,3354,44,17.426356589147286
joint_mm_0220,chunked_prefill_small,0,0,0,0,0,0,0,0.0,3590,44,17.633147632311978
joint_mm_0220,estimated_service_time_first,151,594,151,7,19,25,192,0.0530093870789619,3622,38,14.423799006073992
