scenario_id,target_utilization,tenant_weight_skew,favored_tenant_size,prediction_noise_sigma,seed,token_length_source,size_priority_alignment,best_policy,second_policy,best_vs_second_margin,exact_tie,exact_winners,n_exact_winners,near_tie_eps_0.0,near_tie_eps_0.001,near_tie_eps_0.005,near_tie_eps_0.01,score__aging_priority,score__estimated_service_time_first,score__fifo,score__weighted_fair_share
fs2.util1.1000.skew5.0000.favshort.noise0.30.s20260817,1.1,5.0,short,0.3,20260817,burstgpt_staged,aligned_short_high,aging_priority,estimated_service_time_first,0.005555555555555536,False,aging_priority,1,False,False,False,True,0.9805555555555555,0.975,0.3472222222222222,0.975
fs2.util1.3000.skew1.0000.favlong.noise0.00.s20260816,1.3,1.0,long,0.0,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.025000000000000022,False,weighted_fair_share,1,False,False,False,False,0.20833333333333334,0.6583333333333333,0.3333333333333333,0.6833333333333333
fs2.util1.3000.skew1.0000.favlong.noise0.00.s20260817,1.3,1.0,long,0.0,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.01666666666666672,False,weighted_fair_share,1,False,False,False,False,0.24166666666666667,0.6083333333333333,0.375,0.625
fs2.util1.3000.skew1.0000.favlong.noise0.30.s20260816,1.3,1.0,long,0.3,20260816,burstgpt_staged,conflict_long_high,estimated_service_time_first|weighted_fair_share,weighted_fair_share,0.0,True,estimated_service_time_first|weighted_fair_share,2,True,True,True,True,0.725,0.7416666666666667,0.6666666666666666,0.7416666666666667
fs2.util1.3000.skew1.0000.favlong.noise0.30.s20260817,1.3,1.0,long,0.3,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.04166666666666674,False,weighted_fair_share,1,False,False,False,False,0.21666666666666667,0.6666666666666666,0.5083333333333333,0.7083333333333334
fs2.util1.3000.skew1.0000.favshort.noise0.00.s20260816,1.3,1.0,short,0.0,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.04999999999999993,False,estimated_service_time_first,1,False,False,False,False,0.7583333333333333,0.8583333333333333,0.49166666666666664,0.8083333333333333
fs2.util1.3000.skew1.0000.favshort.noise0.00.s20260817,1.3,1.0,short,0.0,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.05833333333333335,False,estimated_service_time_first,1,False,False,False,False,0.5583333333333333,0.7916666666666666,0.3416666666666667,0.7333333333333333
fs2.util1.3000.skew1.0000.favshort.noise0.30.s20260816,1.3,1.0,short,0.3,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first,aging_priority,0.033333333333333326,False,estimated_service_time_first,1,False,False,False,False,0.8166666666666667,0.85,0.4666666666666667,0.8
fs2.util1.3000.skew1.0000.favshort.noise0.30.s20260817,1.3,1.0,short,0.3,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.08333333333333326,False,estimated_service_time_first,1,False,False,False,False,0.7,0.85,0.49166666666666664,0.7666666666666667
fs2.util1.3000.skew10.0000.favlong.noise0.00.s20260816,1.3,10.0,long,0.0,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.12424242424242427,False,weighted_fair_share,1,False,False,False,False,0.3606060606060606,0.3787878787878788,0.11515151515151516,0.503030303030303
fs2.util1.3000.skew10.0000.favlong.noise0.00.s20260817,1.3,10.0,long,0.0,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,aging_priority,0.08939393939393941,False,weighted_fair_share,1,False,False,False,False,0.36666666666666664,0.2878787878787879,0.09545454545454546,0.45606060606060606
fs2.util1.3000.skew10.0000.favlong.noise0.30.s20260816,1.3,10.0,long,0.3,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,aging_priority,0.009090909090909038,False,weighted_fair_share,1,False,False,False,True,0.6833333333333333,0.5303030303030303,0.3939393939393939,0.6924242424242424
fs2.util1.3000.skew10.0000.favlong.noise0.30.s20260817,1.3,10.0,long,0.3,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.0757575757575758,False,weighted_fair_share,1,False,False,False,False,0.33181818181818185,0.3939393939393939,0.10606060606060606,0.4696969696969697
fs2.util1.3000.skew10.0000.favshort.noise0.00.s20260816,1.3,10.0,short,0.0,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first|weighted_fair_share,weighted_fair_share,0.0,True,estimated_service_time_first|weighted_fair_share,2,True,True,True,True,0.8378787878787879,0.9606060606060606,0.18484848484848485,0.9606060606060606
fs2.util1.3000.skew10.0000.favshort.noise0.00.s20260817,1.3,10.0,short,0.0,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.015151515151515138,False,estimated_service_time_first,1,False,False,False,False,0.6606060606060606,0.9621212121212122,0.11666666666666667,0.946969696969697
fs2.util1.3000.skew10.0000.favshort.noise0.30.s20260816,1.3,10.0,short,0.3,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first|weighted_fair_share,weighted_fair_share,0.0,True,estimated_service_time_first|weighted_fair_share,2,True,True,True,True,0.7757575757575758,0.9454545454545454,0.09848484848484848,0.9454545454545454
fs2.util1.3000.skew10.0000.favshort.noise0.30.s20260817,1.3,10.0,short,0.3,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first|weighted_fair_share,weighted_fair_share,0.0,True,estimated_service_time_first|weighted_fair_share,2,True,True,True,True,0.7560606060606061,0.9590909090909091,0.23939393939393938,0.9590909090909091
fs2.util1.3000.skew5.0000.favlong.noise0.00.s20260816,1.3,5.0,long,0.0,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.1333333333333333,False,weighted_fair_share,1,False,False,False,False,0.2916666666666667,0.4305555555555556,0.15555555555555556,0.5638888888888889
fs2.util1.3000.skew5.0000.favlong.noise0.00.s20260817,1.3,5.0,long,0.0,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.07222222222222224,False,weighted_fair_share,1,False,False,False,False,0.275,0.3472222222222222,0.14722222222222223,0.41944444444444445
fs2.util1.3000.skew5.0000.favlong.noise0.30.s20260816,1.3,5.0,long,0.3,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,aging_priority,0.0444444444444444,False,weighted_fair_share,1,False,False,False,False,0.6861111111111111,0.5694444444444444,0.4444444444444444,0.7305555555555555
fs2.util1.3000.skew5.0000.favlong.noise0.30.s20260817,1.3,5.0,long,0.3,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.05277777777777781,False,weighted_fair_share,1,False,False,False,False,0.31666666666666665,0.4444444444444444,0.18055555555555555,0.49722222222222223
fs2.util1.3000.skew5.0000.favshort.noise0.00.s20260816,1.3,5.0,short,0.0,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.02777777777777779,False,estimated_service_time_first,1,False,False,False,False,0.8277777777777777,0.9416666666666667,0.24166666666666667,0.9138888888888889
fs2.util1.3000.skew5.0000.favshort.noise0.00.s20260817,1.3,5.0,short,0.0,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.02777777777777779,False,estimated_service_time_first,1,False,False,False,False,0.6416666666666667,0.9305555555555556,0.15833333333333333,0.9027777777777778
fs2.util1.3000.skew5.0000.favshort.noise0.30.s20260816,1.3,5.0,short,0.3,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first|weighted_fair_share,weighted_fair_share,0.0,True,estimated_service_time_first|weighted_fair_share,2,True,True,True,True,0.7833333333333333,0.9277777777777778,0.16666666666666666,0.9277777777777778
fs2.util1.3000.skew5.0000.favshort.noise0.30.s20260817,1.3,5.0,short,0.3,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.04166666666666663,False,estimated_service_time_first,1,False,False,False,False,0.7472222222222222,0.9388888888888889,0.2861111111111111,0.8972222222222223
fs2.util1.5000.skew1.0000.favlong.noise0.00.s20260816,1.5,1.0,long,0.0,20260816,burstgpt_staged,conflict_long_high,estimated_service_time_first,weighted_fair_share,0.04166666666666663,False,estimated_service_time_first,1,False,False,False,False,0.175,0.625,0.2833333333333333,0.5833333333333334
fs2.util1.5000.skew1.0000.favlong.noise0.00.s20260817,1.5,1.0,long,0.0,20260817,burstgpt_staged,conflict_long_high,estimated_service_time_first,weighted_fair_share,0.01666666666666672,False,estimated_service_time_first,1,False,False,False,False,0.19166666666666668,0.5916666666666667,0.26666666666666666,0.575
fs2.util1.5000.skew1.0000.favlong.noise0.30.s20260816,1.5,1.0,long,0.3,20260816,burstgpt_staged,conflict_long_high,estimated_service_time_first,weighted_fair_share,0.04166666666666663,False,estimated_service_time_first,1,False,False,False,False,0.6,0.7333333333333333,0.5333333333333333,0.6916666666666667
fs2.util1.5000.skew1.0000.favlong.noise0.30.s20260817,1.5,1.0,long,0.3,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.025000000000000022,False,weighted_fair_share,1,False,False,False,False,0.18333333333333332,0.625,0.39166666666666666,0.65
fs2.util1.5000.skew1.0000.favshort.noise0.00.s20260816,1.5,1.0,short,0.0,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.06666666666666665,False,estimated_service_time_first,1,False,False,False,False,0.6833333333333333,0.8083333333333333,0.3333333333333333,0.7416666666666667
fs2.util1.5000.skew1.0000.favshort.noise0.00.s20260817,1.5,1.0,short,0.0,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.050000000000000044,False,estimated_service_time_first,1,False,False,False,False,0.55,0.7666666666666667,0.275,0.7166666666666667
fs2.util1.5000.skew1.0000.favshort.noise0.30.s20260816,1.5,1.0,short,0.3,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.05833333333333335,False,estimated_service_time_first,1,False,False,False,False,0.6416666666666667,0.8083333333333333,0.36666666666666664,0.75
fs2.util1.5000.skew1.0000.favshort.noise0.30.s20260817,1.5,1.0,short,0.3,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.05833333333333335,False,estimated_service_time_first,1,False,False,False,False,0.6083333333333333,0.7833333333333333,0.39166666666666666,0.725
fs2.util1.5000.skew10.0000.favlong.noise0.00.s20260816,1.5,10.0,long,0.0,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,aging_priority,0.08636363636363636,False,weighted_fair_share,1,False,False,False,False,0.3575757575757576,0.3181818181818182,0.07878787878787878,0.44393939393939397
fs2.util1.5000.skew10.0000.favlong.noise0.00.s20260817,1.5,10.0,long,0.0,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,aging_priority,0.11515151515151512,False,weighted_fair_share,1,False,False,False,False,0.33181818181818185,0.25757575757575757,0.06212121212121212,0.44696969696969696
fs2.util1.5000.skew10.0000.favlong.noise0.30.s20260816,1.5,10.0,long,0.3,20260816,burstgpt_staged,conflict_long_high,aging_priority,weighted_fair_share,0.00909090909090915,False,aging_priority,1,False,False,False,True,0.6015151515151516,0.5151515151515151,0.15151515151515152,0.5924242424242424
fs2.util1.5000.skew10.0000.favlong.noise0.30.s20260817,1.5,10.0,long,0.3,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,aging_priority,0.15909090909090906,False,weighted_fair_share,1,False,False,False,False,0.33181818181818185,0.3181818181818182,0.08484848484848485,0.4909090909090909
fs2.util1.5000.skew10.0000.favshort.noise0.00.s20260816,1.5,10.0,short,0.0,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.015151515151515138,False,estimated_service_time_first,1,False,False,False,False,0.7651515151515151,0.9515151515151515,0.15606060606060607,0.9363636363636364
fs2.util1.5000.skew10.0000.favshort.noise0.00.s20260817,1.5,10.0,short,0.0,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.015151515151515138,False,estimated_service_time_first,1,False,False,False,False,0.6590909090909091,0.9575757575757575,0.09090909090909091,0.9424242424242424
fs2.util1.5000.skew10.0000.favshort.noise0.30.s20260816,1.5,10.0,short,0.3,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first|weighted_fair_share,weighted_fair_share,0.0,True,estimated_service_time_first|weighted_fair_share,2,True,True,True,True,0.6348484848484849,0.9378787878787879,0.0803030303030303,0.9378787878787879
fs2.util1.5000.skew10.0000.favshort.noise0.30.s20260817,1.5,10.0,short,0.3,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first|weighted_fair_share,weighted_fair_share,0.0,True,estimated_service_time_first|weighted_fair_share,2,True,True,True,True,0.6696969696969697,0.946969696969697,0.19393939393939394,0.946969696969697
fs2.util1.5000.skew5.0000.favlong.noise0.00.s20260816,1.5,5.0,long,0.0,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.08333333333333331,False,weighted_fair_share,1,False,False,False,False,0.3055555555555556,0.375,0.11666666666666667,0.4583333333333333
fs2.util1.5000.skew5.0000.favlong.noise0.00.s20260817,1.5,5.0,long,0.0,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.09444444444444444,False,weighted_fair_share,1,False,False,False,False,0.2777777777777778,0.3194444444444444,0.1,0.41388888888888886
fs2.util1.5000.skew5.0000.favlong.noise0.30.s20260816,1.5,5.0,long,0.3,20260816,burstgpt_staged,conflict_long_high,aging_priority,estimated_service_time_first,0.016666666666666607,False,aging_priority,1,False,False,False,False,0.5722222222222222,0.5555555555555556,0.2222222222222222,0.55
fs2.util1.5000.skew5.0000.favlong.noise0.30.s20260817,1.5,5.0,long,0.3,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.09166666666666667,False,weighted_fair_share,1,False,False,False,False,0.26666666666666666,0.375,0.14166666666666666,0.4666666666666667
fs2.util1.5000.skew5.0000.favshort.noise0.00.s20260816,1.5,5.0,short,0.0,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.011111111111111183,False,estimated_service_time_first,1,False,False,False,False,0.75,0.925,0.18888888888888888,0.9138888888888889
fs2.util1.5000.skew5.0000.favshort.noise0.00.s20260817,1.5,5.0,short,0.0,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.05555555555555558,False,estimated_service_time_first,1,False,False,False,False,0.6388888888888888,0.9222222222222223,0.125,0.8666666666666667
fs2.util1.5000.skew5.0000.favshort.noise0.30.s20260816,1.5,5.0,short,0.3,20260816,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.08333333333333326,False,estimated_service_time_first,1,False,False,False,False,0.6361111111111111,0.9138888888888889,0.13333333333333333,0.8305555555555556
fs2.util1.5000.skew5.0000.favshort.noise0.30.s20260817,1.5,5.0,short,0.3,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.04166666666666663,False,estimated_service_time_first,1,False,False,False,False,0.6583333333333333,0.9166666666666666,0.23055555555555557,0.875
