scenario_id,n_states,n_nonzero,n_positive,n_negative,abs_mass
joint_mm_0117,15,0,0,0,0.0
joint_mm_0118,15,1,1,0,0.0274579731577784
joint_mm_0119,15,1,0,1,0.0208314155424421
joint_mm_0120,15,0,0,0,0.0
joint_mm_0121,15,0,0,0,0.0
joint_mm_0122,15,4,4,0,0.0426768223006321
joint_mm_0123,15,0,0,0,0.0
joint_mm_0124,15,4,0,4,0.0420821593427684
joint_mm_0125,15,1,0,1,0.0102563867515678
joint_mm_0126,15,1,0,1,0.0142645366261641
joint_mm_0127,15,1,0,1,0.02284134233323
joint_mm_0128,15,0,0,0,0.0
joint_mm_0129,15,0,0,0,0.0
joint_mm_0130,15,1,1,0,0.0316457406371824
joint_mm_0131,15,0,0,0,0.0
joint_mm_0132,15,0,0,0,0.0
joint_mm_0133,15,2,0,2,0.0668470604060642
joint_mm_0134,15,0,0,0,0.0
joint_mm_0135,15,0,0,0,0.0
joint_mm_0136,15,1,1,0,0.0291412338474604
joint_mm_0137,15,5,5,0,0.050723998212547
joint_mm_0138,15,2,0,2,0.0256041916232324
joint_mm_0139,15,1,1,0,0.0104955316384979
joint_mm_0140,15,0,0,0,0.0
joint_mm_0141,15,1,0,1,0.0192371770970424
joint_mm_0142,15,0,0,0,0.0
joint_mm_0143,15,0,0,0,0.0
joint_mm_0144,8,0,0,0,0.0
joint_mm_0145,15,0,0,0,0.0
joint_mm_0146,15,0,0,0,0.0
joint_mm_0147,15,1,0,1,0.0363221392151951
joint_mm_0148,15,0,0,0,0.0
joint_mm_0149,15,0,0,0,0.0
joint_mm_0150,15,0,0,0,0.0
joint_mm_0151,15,4,4,0,0.0549497057874932
joint_mm_0152,15,0,0,0,0.0
joint_mm_0153,15,0,0,0,0.0
joint_mm_0154,15,2,2,0,0.0360200841025418
joint_mm_0155,15,0,0,0,0.0
joint_mm_0156,15,0,0,0,0.0
joint_mm_0157,15,0,0,0,0.0
joint_mm_0158,15,0,0,0,0.0
joint_mm_0159,15,2,0,2,0.0309766659245152
joint_mm_0160,15,0,0,0,0.0
joint_mm_0161,15,0,0,0,0.0
joint_mm_0162,15,0,0,0,0.0
joint_mm_0163,15,0,0,0,0.0
joint_mm_0164,15,5,0,5,0.0880913196923045
joint_mm_0165,15,0,0,0,0.0
joint_mm_0166,15,0,0,0,0.0
joint_mm_0167,15,0,0,0,0.0
joint_mm_0168,15,0,0,0,0.0
joint_mm_0169,15,0,0,0,0.0
joint_mm_0170,15,0,0,0,0.0
joint_mm_0171,15,0,0,0,0.0
joint_mm_0172,15,0,0,0,0.0
joint_mm_0173,15,0,0,0,0.0
joint_mm_0174,15,0,0,0,0.0
joint_mm_0175,15,2,1,1,0.1189380777612412
joint_mm_0176,15,0,0,0,0.0
joint_mm_0177,15,0,0,0,0.0
joint_mm_0178,15,0,0,0,1.6653345369377348e-16
joint_mm_0179,15,0,0,0,0.0
joint_mm_0180,15,2,1,1,0.0291362471007054
joint_mm_0181,15,0,0,0,0.0
joint_mm_0182,15,5,0,5,0.1489033653749431
joint_mm_0183,12,0,0,0,0.0
joint_mm_0184,15,0,0,0,0.0
joint_mm_0185,15,0,0,0,0.0
joint_mm_0186,15,0,0,0,0.0
joint_mm_0187,15,1,1,0,0.018130847304862
joint_mm_0188,15,0,0,0,0.0
joint_mm_0189,15,3,3,0,0.024199963900369312
joint_mm_0190,15,1,0,1,0.0135325926796486
joint_mm_0191,15,0,0,0,0.0
joint_mm_0192,15,0,0,0,0.0
joint_mm_0193,15,3,0,3,0.070315980029464
joint_mm_0194,15,0,0,0,0.0
joint_mm_0195,15,0,0,0,0.0
joint_mm_0196,15,0,0,0,0.0
joint_mm_0197,15,0,0,0,0.0
joint_mm_0198,15,1,0,1,0.0072864842516395
joint_mm_0199,15,2,2,0,0.01602949856232071
joint_mm_0200,15,6,6,0,0.10755865890463799
joint_mm_0201,15,0,0,0,0.0
joint_mm_0202,15,1,1,0,0.0498506877445348
joint_mm_0203,15,0,0,0,0.0
joint_mm_0204,9,0,0,0,0.0
joint_mm_0205,15,0,0,0,0.0
joint_mm_0206,15,1,1,0,0.0098619545965259
joint_mm_0207,15,1,1,0,0.0440695430043897
joint_mm_0208,15,10,10,0,0.18859248969936637
joint_mm_0209,15,2,1,1,0.1061830024904544
joint_mm_0210,15,0,0,0,0.0
joint_mm_0211,15,2,2,0,0.0723735985829554
joint_mm_0212,15,0,0,0,0.0
joint_mm_0213,15,1,0,1,0.0125365381418841
joint_mm_0214,15,0,0,0,0.0
joint_mm_0215,15,1,0,1,0.0114545414021973
joint_mm_0216,15,5,3,2,0.33339041103678074
joint_mm_0217,15,0,0,0,0.0
joint_mm_0218,15,7,0,7,0.19865251280400015
joint_mm_0219,15,1,0,1,0.0087002611216528
joint_mm_0220,15,0,0,0,0.0
joint_mm_0221,15,0,0,0,0.0
joint_mm_0222,15,0,0,0,0.0
joint_mm_0223,15,0,0,0,0.0
joint_mm_0224,15,1,1,0,0.0274327670543909
joint_mm_0225,15,0,0,0,1.1102230246251563e-16
joint_mm_0226,15,0,0,0,0.0
joint_mm_0227,15,0,0,0,0.0
joint_mm_0228,15,0,0,0,0.0
joint_mm_0229,15,0,0,0,0.0
joint_mm_0230,15,0,0,0,0.0
joint_mm_0231,15,0,0,0,0.0
joint_mm_0232,15,0,0,0,0.0
joint_mm_0233,15,0,0,0,0.0
joint_mm_0234,15,0,0,0,0.0
joint_mm_0235,15,1,0,1,0.0161126360874102
joint_mm_0236,15,0,0,0,0.0
joint_mm_0237,15,0,0,0,0.0
joint_mm_0238,15,0,0,0,0.0
joint_mm_0239,15,1,1,0,0.015959203122600123
