source_scenario_id,canonical_policy_id,historical_anwg,reconstructed_anwg,abs_diff
kvp2.bulk24.phasemiddle.tightloose.s20260914,kv_constrained_online,0.9411764705882353,0.9117647058823529,0.02941176470588236
kvp2.bulk24.phasemiddle.tightloose.s20260914,least_laxity_first,0.9411764705882353,0.8235294117647058,0.11764705882352944
kvp2.bulk24.phasemiddle.tightloose.s20260915,kv_constrained_online,0.7352941176470589,0.7647058823529411,0.02941176470588225
kvp2.bulk24.phasemiddle.tightloose.s20260915,least_laxity_first,0.6764705882352942,0.5882352941176471,0.08823529411764708
kvp2.bulk24.phasemiddle.tighttight.s20260910,kv_constrained_online,0.6470588235294118,0.7352941176470589,0.08823529411764708
kvp2.bulk24.phasemiddle.tighttight.s20260910,least_laxity_first,0.6470588235294118,0.5,0.1470588235294118
kvp2.bulk24.phasemiddle.tighttight.s20260911,kv_constrained_online,0.6176470588235294,0.7352941176470589,0.11764705882352944
kvp2.bulk24.phasemiddle.tighttight.s20260911,least_laxity_first,0.4117647058823529,0.4117647058823529,0.0
kvp2.bulk24.phasemiddle.tighttight.s20260912,kv_constrained_online,0.7058823529411765,0.7352941176470589,0.02941176470588236
kvp2.bulk24.phasemiddle.tighttight.s20260912,least_laxity_first,0.4117647058823529,0.5294117647058824,0.11764705882352944
kvp2.bulk24.phasemiddle.tighttight.s20260913,kv_constrained_online,0.7647058823529411,0.6176470588235294,0.1470588235294117
kvp2.bulk24.phasemiddle.tighttight.s20260913,least_laxity_first,0.5882352941176471,0.5882352941176471,0.0
kvp2.bulk24.phasemiddle.tighttight.s20260914,kv_constrained_online,0.9117647058823529,0.8823529411764706,0.02941176470588236
kvp2.bulk24.phasemiddle.tighttight.s20260914,least_laxity_first,0.6764705882352942,0.5882352941176471,0.08823529411764708
kvp2.bulk24.phasemiddle.tighttight.s20260915,kv_constrained_online,0.7352941176470589,0.6470588235294118,0.08823529411764708
kvp2.bulk24.phasemiddle.tighttight.s20260915,least_laxity_first,0.47058823529411764,0.38235294117647056,0.08823529411764708
