axis,branch_id,branch_type,candidate_canonical_action_id,candidate_hash_roundtrip_match,completed_count,completed_ids_hash,condition_id,continuation_policy,decision_step,first_step_warning_count,first_step_warnings,forced_once,live_fingerprint_unchanged,mean_latency,median_latency,original_live_state_not_mutated,outside_population_completed_count,p95_latency,policy_forever_switch,population_count,population_ids_hash,regime_stage,sbs_hash_match,source_dataset,state_id,unfinished_count,validity_class,window_index,source_shard_file
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2784::sbs_reference,SBS_REFERENCE,2ab1a09b0ddf26152bafdf9cffad6cd893e5258da78d531e33b661e1763163eb,,42,a8cf29e713efba273c2951c7c75ac43e561f7bb18aae9ef33e95dfd3cfbae96a,active_4,kv_constrained_online,2784,0,,True,True,0.06125949914114824,0.04022506618499766,True,158,0.1460156323432921,False,42,a8cf29e713efba273c2951c7c75ac43e561f7bb18aae9ef33e95dfd3cfbae96a,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2784,0,VALID,11,shard_053_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2794::sbs_reference,SBS_REFERENCE,d34416a923201b96d793bf9a66606ccb06112b20a6cad65576328ea51cd7dca9,,41,e56f7909c2d0c060298f0e39dfefb22ff53cdd869055784c5bf5fe85a7b3bda8,active_4,kv_constrained_online,2794,0,,True,True,0.06144573072107835,0.03927405929565442,True,159,0.1477710361480713,False,41,e56f7909c2d0c060298f0e39dfefb22ff53cdd869055784c5bf5fe85a7b3bda8,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2794,0,VALID,11,shard_003_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2796::sbs_reference,SBS_REFERENCE,4055b26e0a948de6a85861c1124e877a9d90c9135cf2e6d6eefa6be9cb6ce5be,,40,68b4a215f50609a091107be2d3e2af38327b36f8ab29db4781905baa5c2c9721,active_4,kv_constrained_online,2796,0,,True,True,0.06155970129966744,0.03745907974243168,True,160,0.15051348657608019,False,40,68b4a215f50609a091107be2d3e2af38327b36f8ab29db4781905baa5c2c9721,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2796,0,VALID,11,shard_030_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2808::sbs_reference,SBS_REFERENCE,34e0a02116010cd65266c4b5ee9f61c92db2ca85aa08ec530ca1c31ea391c9d7,,39,d2c0b53e5c093870b722f99c75658855a625c110d534a14d9d117ee3d9afe9a4,active_4,kv_constrained_online,2808,0,,True,True,0.06135467030451855,0.03564410018920894,True,161,0.15325593700408946,False,39,d2c0b53e5c093870b722f99c75658855a625c110d534a14d9d117ee3d9afe9a4,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2808,0,VALID,11,shard_020_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2817::sbs_reference,SBS_REFERENCE,08415db9d9cece7df123c71806975f4dbe724bedb2f5000f8d2ac80457ac009f,,38,d66503bcd8f7dbd4e92bb6e8e4a39e7da2d2c9538fb018e8bdf7ab7b216f6f03,active_4,kv_constrained_online,2817,0,,True,True,0.06240876759980861,0.03745907974243168,True,162,0.15599838743209837,False,38,d66503bcd8f7dbd4e92bb6e8e4a39e7da2d2c9538fb018e8bdf7ab7b216f6f03,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2817,0,VALID,11,shard_015_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2819::sbs_reference,SBS_REFERENCE,5af5f767cd0f913883421100b287f6324af43a3ccc3868c28631b663674d39ed,,37,a9096f807382150ff52d9923f05c00de3f5fb8bdee05924a58d1a67828436800,active_4,kv_constrained_online,2819,0,,True,True,0.06344119329710271,0.03927405929565442,True,163,0.15874083786010726,False,37,a9096f807382150ff52d9923f05c00de3f5fb8bdee05924a58d1a67828436800,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2819,0,VALID,11,shard_038_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2826::sbs_reference,SBS_REFERENCE,aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b,,36,fb369a236d9b7db59911c11ec63b4b709daf4cba3b5303948ab26cbe29dc4132,active_4,kv_constrained_online,2826,0,,True,True,0.06426366816626662,0.04022506618499766,True,164,0.16148328828811653,False,36,fb369a236d9b7db59911c11ec63b4b709daf4cba3b5303948ab26cbe29dc4132,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2826,0,VALID,11,shard_083_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2842::sbs_reference,SBS_REFERENCE,0ea8a18ee3b4770e624fa9ec83bb928a333af224143d5a9cb5c3eed91f05df22,,35,57e1535852edf6ffc759da928f999ca41f688be522cf500b45df567a0bc5dcdf,active_4,kv_constrained_online,2842,0,,True,True,0.06492331374032163,0.03927405929565442,True,165,0.16422573871612542,False,35,57e1535852edf6ffc759da928f999ca41f688be522cf500b45df567a0bc5dcdf,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2842,0,VALID,11,shard_085_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2851::sbs_reference,SBS_REFERENCE,dc90bb4f72b23e3734b83728c551e8ce02afb0f9000b3e831a895667d7442dfc,,34,97ab310d3b3c265881d167aaee639e56d67e8c24b47e5412fbd5a8ae644fab53,active_4,kv_constrained_online,2851,0,,True,True,0.0635192064958461,0.03745907974243168,True,166,0.1669681891441345,False,34,97ab310d3b3c265881d167aaee639e56d67e8c24b47e5412fbd5a8ae644fab53,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2851,0,VALID,11,shard_007_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2871::sbs_reference,SBS_REFERENCE,f4bac6ab8cf2d4fabc3a85bd5abe3cc7e9f2ce71769e1f06bb4ab3dd21dd1ce8,,33,d6aad476c75ece8dcb441811dab2601a91f9a998da1123187e54e1cfa860b22b,active_4,kv_constrained_online,2871,0,,True,True,0.06455517913355979,0.03927405929565442,True,167,0.1697106395721436,False,33,d6aad476c75ece8dcb441811dab2601a91f9a998da1123187e54e1cfa860b22b,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2871,0,VALID,11,shard_053_of_096.csv
