omitted,omitted_label,n_states_omitted,share_of_total_headroom_omitted,n_states,n_windows,mean_H_ms,P_beneficial_canonical,P_beneficial_eps_guarded,sum_H_s,delta_mean_H_ms,delta_P_canonical
azure_2023_code:w31,azure_2023_code:w31,80,0.00955576773028255,640,35,2.2238098356901825,0.8015625,0.8,1.4232382948417168,0.22801866487691336,-0.017881944444444464
azure_2023_code:w33,azure_2023_code:w33,12,0.0003849375470869385,708,35,2.028836863581842,0.8234463276836158,0.8220338983050848,1.4364164994159445,0.03304569276857294,0.004001883239171389
azure_2023_code:w35,azure_2023_code:w35,18,0.010012229561619033,702,35,2.0264706168759323,0.8176638176638177,0.8162393162393162,1.4225823730469047,0.03067944606266315,-0.0017806267806267373
azure_2023_code:w37,azure_2023_code:w37,53,0.05352579381782393,667,35,2.0390625219679714,0.8095952023988006,0.808095952023988,1.360054702152637,0.043271351154702264,-0.009849242045643858
azure_2023_code:w39,azure_2023_code:w39,5,3.712928717528818e-05,715,35,2.009673131925898,0.8223776223776224,0.820979020979021,1.436916289327017,0.013881961112628849,0.002933177933177933
azure_2023_code:w5,azure_2023_code:w5,8,0.00011271119145462486,712,35,2.017988315203664,0.8216292134831461,0.8202247191011236,1.4368076804250087,0.022197144390394774,0.002184769038701684
azure_2023_code:w7,azure_2023_code:w7,17,0.0001534922716886106,703,35,2.0437397997876303,0.833570412517781,0.8321479374110953,1.4367490792507043,0.04794862897436114,0.014125968073336548
azure_2023_conv:w1,azure_2023_conv:w1,3,1.5876765212555082e-05,717,35,2.0041099421979283,0.8200836820083682,0.8186889818688982,1.4369468285559144,0.008318771384659085,0.0006392375639238113
azure_2023_conv:w10,azure_2023_conv:w10,4,0.0007746340667947895,716,35,2.005386197412217,0.8212290502793296,0.8198324022346368,1.4358565173471471,0.009595026598947731,0.0017846058348851557
azure_2023_conv:w11,azure_2023_conv:w11,11,0.0016938271992843288,709,35,2.023322517235147,0.8265162200282088,0.8251057827926658,1.434535664719719,0.027531346421877823,0.0070717755837643725
azure_2023_conv:w13,azure_2023_conv:w13,1,1.3130357081929453e-05,719,35,1.9985407163574764,0.8191933240611962,0.8178025034770514,1.4369507750610255,0.0027495455442072547,-0.00025112038324826
azure_2023_conv:w14,azure_2023_conv:w14,1,0.0003823203355276609,719,35,1.9978028654652358,0.8191933240611962,0.8178025034770514,1.4364202602695044,0.0020116946519666,-0.00025112038324826
azure_2023_conv:w15,azure_2023_conv:w15,3,0.00014941150219047717,717,35,2.0038423196549413,0.8200836820083682,0.8186889818688982,1.436754943192593,0.008051148841672129,0.0006392375639238113
azure_2023_conv:w18,azure_2023_conv:w18,95,0.015619816556334862,625,35,2.263239105224156,0.7952,0.7936,1.4145244407650974,0.2674479344108869,-0.024244444444444402
azure_2023_conv:w2,azure_2023_conv:w2,2,1.960306831952806e-05,718,35,2.0013112450856116,0.8203342618384402,0.8189415041782729,1.4369414739714692,0.005520074272342468,0.0008898173939957399
azure_2023_conv:w21,azure_2023_conv:w21,3,3.8016709432782895e-05,717,35,2.0040655706111195,0.8200836820083682,0.8186889818688982,1.4369150141281726,0.008274399797850274,0.0006392375639238113
azure_2023_conv:w22,azure_2023_conv:w22,2,3.5385199593617e-05,718,35,2.001279659509647,0.8203342618384402,0.8189415041782729,1.4369187955279268,0.005488488696377969,0.0008898173939957399
azure_2023_conv:w23,azure_2023_conv:w23,5,0.0,715,35,2.0097477524273475,0.8251748251748252,0.8237762237762237,1.4369696429855536,0.013956581614078312,0.005730380730380791
azure_2023_conv:w25,azure_2023_conv:w25,2,0.0,718,35,2.001350477695757,0.8217270194986073,0.8203342618384402,1.4369696429855536,0.005559306882487958,0.0022825750541628498
azure_2023_conv:w26,azure_2023_conv:w26,1,0.0,719,35,1.99856695825529,0.8205841446453408,0.8191933240611962,1.4369696429855536,0.002775787442020894,0.0011397002008963764
azure_2023_conv:w3,azure_2023_conv:w3,7,0.006026650676348773,713,35,2.0032391709884463,0.8190743338008415,0.8176718092566619,1.4283095289147623,0.007448000175177105,-0.0003701106436029278
azure_2023_conv:w5,azure_2023_conv:w5,5,3.215440790486428e-05,715,35,2.0096831301783302,0.820979020979021,0.8195804195804196,1.4369234380775062,0.013891959365061046,0.0015345765345765594
azure_2023_conv:w6,azure_2023_conv:w6,10,0.0002883925606582875,710,35,2.0233172276487674,0.823943661971831,0.823943661971831,1.436555231630625,0.027526056835498247,0.004499217527386579
azure_2023_conv:w7,azure_2023_conv:w7,2,0.0001864041764310207,718,35,2.0009774176082127,0.8203342618384402,0.8189415041782729,1.4367017858426967,0.005186246794943505,0.0008898173939957399
