scenario_id,policy_name,bulk_pressure,urgent_arrival_phase,urgent_tightness,seed,held_out,status,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,bulk_n,bulk_slo_success_rate,urgent_n,urgent_slo_success_rate,peak_kv_utilization,steps_over_reserve_threshold,n_steps,n_reserve_deferrals
kvp2.bulk10.phasemiddle.tighttight.s20260915,least_laxity_first,low,middle,tight,20260915,True,success,0.55,0.55,1.0,10,0.9,10,0.2,1.064,1434,1931,0
kvp2.bulk10.phasemiddle.tighttight.s20260915,kv_constrained_online,low,middle,tight,20260915,True,success,0.9,0.9,1.0,10,0.8,10,1.0,1.0146666666666666,723,2525,308
kvp2.bulk10.phaselate.tightloose.s20260911,least_laxity_first,low,late,loose,20260911,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0638333333333334,1199,1472,0
kvp2.bulk10.phaselate.tightloose.s20260910,least_laxity_first,low,late,loose,20260910,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.128,1475,1715,0
kvp2.bulk10.phaselate.tightloose.s20260911,kv_constrained_online,low,late,loose,20260911,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0633333333333332,540,1704,2570
kvp2.bulk10.phaselate.tightloose.s20260910,kv_constrained_online,low,late,loose,20260910,False,success,0.95,0.95,1.0,10,0.9,10,1.0,1.0826666666666667,831,1979,4444
kvp2.bulk10.phasemiddle.tighttight.s20260912,least_laxity_first,low,middle,tight,20260912,False,success,0.5,0.5,1.0,10,1.0,10,0.0,1.076,1588,1804,0
kvp2.bulk10.phaselate.tightloose.s20260913,least_laxity_first,low,late,loose,20260913,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0581666666666667,1038,1403,0
kvp2.bulk10.phaselate.tightloose.s20260912,kv_constrained_online,low,late,loose,20260912,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0693333333333332,890,2078,3554
kvp2.bulk10.phaselate.tightloose.s20260912,least_laxity_first,low,late,loose,20260912,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.076,1588,1804,0
kvp2.bulk10.phaselate.tightloose.s20260914,least_laxity_first,low,late,loose,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.1058333333333332,953,1232,0
