scenario_id,fold,states,scenario_gain,mean_state_gain,overrides,beneficial_overrides,harmful_overrides,oracle_gain
joint_mm_0037,3,41,0.1024055053095625,0.0024976952514527,27,8,3,0.3484426967271216
joint_mm_0130,1,62,0.105485802123941,0.0017013839052248,32,10,0,0.105485802123941
joint_mm_0211,0,50,0.1110138958351721,0.0022202779167034,41,9,6,0.3992815411866235
joint_mm_0011,0,55,0.1262875067277287,0.0022961364859587,19,4,0,0.6108793226452791
joint_mm_0158,4,38,0.1289706124872085,0.0033939634865054,28,7,2,0.4243484492367986
joint_mm_0055,1,38,0.1308142941599843,0.0034424814252627,26,8,2,0.218023823599974
joint_mm_0100,4,23,0.1327777060295304,0.0057729437404143,11,10,1,0.3245677258499635
joint_mm_0101,2,54,0.1337811909197785,0.0024774294614773,28,11,0,0.3770197198648305
joint_mm_0141,4,52,0.1457444964054155,0.0028027787770272,28,11,1,0.4241921938758033
joint_mm_0029,3,35,0.1592657052579671,0.0045504487216562,12,8,1,0.2584741496465748
joint_mm_0127,4,61,0.1713495688090078,0.0028090093247378,18,10,3,0.5938749006639825
joint_mm_0038,1,58,0.177898878153382,0.0030672220371272,43,8,6,0.2122725027528706
joint_mm_0159,2,61,0.2042638919811865,0.0033485883931342,9,7,0,0.3512892406722503
joint_mm_0132,4,43,0.2044580180218554,0.0047548376284152,31,8,2,0.3223497739989005
joint_mm_0009,1,25,0.2272015370423981,0.0090880614816959,13,6,0,0.7137215800790784
joint_mm_0021,3,81,0.2302868497127818,0.0028430475273182,34,18,4,1.2807441215821818
joint_mm_0109,0,20,0.2363057838186499,0.0118152891909324,14,9,0,0.3152075824437638
joint_mm_0086,3,32,0.2438948587937066,0.0076217143373033,7,6,0,1.6354020692535818
joint_mm_0073,3,50,0.2445351411961868,0.0048907028239237,15,13,0,0.5329188262840725
joint_mm_0107,3,39,0.2493541073695172,0.0063936950607568,24,15,0,0.4729991398491639
joint_mm_0147,1,35,0.2927740191417796,0.0083649719754794,28,23,3,0.5128183221091239
joint_mm_0152,2,23,0.3143701759752162,0.0136682685206615,9,5,0,0.7859254399380406
joint_mm_0116,2,45,0.3866368960678001,0.0085919310237288,14,7,3,0.9418460553410531
joint_mm_0154,4,49,0.4068320317463761,0.0083026945254362,28,23,1,0.6839172606600635
joint_mm_0049,1,27,0.4218716468239423,0.0156248758082941,25,21,0,0.5130848025893102
joint_mm_0065,1,32,0.4452732264652295,0.0139147883270384,27,13,0,0.5137767997675725
