reserve,source_dataset,window_index,axis,condition_id,decision_states,disagreement_states,P_D
0.9,azure_2023_code,29,active_sequence_capacity,active_4,4974,1,0.0002010454362685967
0.9,azure_2023_code,31,active_sequence_capacity,active_4,4531,5,0.0011035091591260207
0.9,azure_2023_code,33,active_sequence_capacity,active_4,4115,10,0.002430133657351154
0.9,azure_2023_code,35,active_sequence_capacity,active_4,3996,3,0.0007507507507507507
0.9,azure_2023_code,37,active_sequence_capacity,active_4,5468,4,0.000731528895391368
0.9,azure_2023_code,39,active_sequence_capacity,active_4,4102,5,0.0012189176011701609
0.9,azure_2023_code,1,kv_capacity,kv_16000,4241,0,0.0
0.9,azure_2023_code,3,kv_capacity,kv_16000,7174,0,0.0
0.9,azure_2023_code,5,kv_capacity,kv_16000,5109,0,0.0
0.9,azure_2023_code,7,kv_capacity,kv_16000,4521,0,0.0
0.9,azure_2023_code,9,kv_capacity,kv_16000,6669,0,0.0
0.9,azure_2023_code,11,kv_capacity,kv_16000,2710,177,0.06531365313653137
0.9,azure_2023_code,13,kv_capacity,kv_16000,4236,0,0.0
0.9,azure_2023_code,15,kv_capacity,kv_16000,5048,1,0.00019809825673534074
0.9,azure_2023_code,17,kv_capacity,kv_16000,4705,1,0.00021253985122210415
0.9,azure_2023_code,19,kv_capacity,kv_16000,4624,4,0.0008650519031141869
0.9,azure_2023_code,21,kv_capacity,kv_16000,4330,1,0.00023094688221709007
0.9,azure_2023_code,23,kv_capacity,kv_16000,4877,2,0.0004100881689563256
0.9,azure_2023_code,25,kv_capacity,kv_16000,4974,0,0.0
0.9,azure_2023_code,27,kv_capacity,kv_16000,4066,0,0.0
0.9,azure_2023_code,29,kv_capacity,kv_16000,4974,0,0.0
0.9,azure_2023_code,31,kv_capacity,kv_16000,4530,3,0.0006622516556291391
0.9,azure_2023_code,33,kv_capacity,kv_16000,4087,2,0.0004893564962074871
0.9,azure_2023_code,35,kv_capacity,kv_16000,3992,0,0.0
0.9,azure_2023_code,37,kv_capacity,kv_16000,5462,33,0.0060417429512998905
0.9,azure_2023_code,39,kv_capacity,kv_16000,4098,0,0.0
0.9,azure_2023_conv,1,active_sequence_capacity,active_4,33782,3,8.880468888757326e-05
0.9,azure_2023_conv,2,active_sequence_capacity,active_4,30803,2,6.492874070707399e-05
0.9,azure_2023_conv,3,active_sequence_capacity,active_4,26879,7,0.0002604263551471409
