fraction_prompts_gt_1024,fraction_urgent,kv_util_ratio,max_predicted_output,max_prompt_tokens,mean_predicted_output,mean_prompt_tokens,mean_slo_slack,min_slo_slack,n_decoding_active,n_prefilling_active,n_queued_requests,scenario_id,split,std_slo_slack
0.5,0.0,0.0,128.0,16384.0,84.625,5432.041666666667,1.124625,0.139,0.0,0.0,24.0,pd2.hog12.late12.slolate_ttft.s20260821,val,0.9507543414091431
0.5,0.0,0.0,128.0,16384.0,81.625,6225.875,1.121625,0.128,0.0,0.0,24.0,pd2.hog12.late12.slolate_ttft.s20260822,val,0.9649792231139832
0.23076923076923078,0.0,0.0,128.0,16384.0,85.63461538461539,3000.0,1.6356346153846153,0.098,0.0,0.0,52.0,pd2.hog12.late40.slohog_ttft.s20260820,val,0.8251128600856358
0.23076923076923078,0.0,0.0,128.0,16384.0,80.07692307692308,2585.9615384615386,1.630076923076923,0.098,0.0,0.0,52.0,pd2.hog12.late40.slohog_ttft.s20260821,val,0.829594151149405
0.5,0.0,0.0,128.0,15114.0,83.41666666666667,4194.583333333333,1.1084166666666668,0.11100000000000002,0.0,0.0,24.0,pd2.hog12.late12.slohog_ttft.s20260823,test,0.9768057174905469
0.5,0.0,0.0,128.0,15114.0,83.41666666666667,4194.583333333333,1.1234166666666667,0.128,0.0,0.0,24.0,pd2.hog12.late12.slolate_ttft.s20260823,test,0.9586432651003304
0.6666666666666666,0.0,0.0,128.0,16384.0,78.63888888888889,6529.055555555556,0.7786388888888888,0.098,0.0,0.0,36.0,pd2.hog24.late12.slohog_ttft.s20260823,test,0.9182020218514544
0.6666666666666666,0.0,0.0,128.0,16384.0,78.63888888888889,6529.055555555556,1.4386388888888888,0.128,0.0,0.0,36.0,pd2.hog24.late12.slolate_ttft.s20260823,test,0.9066163942183221
0.23076923076923078,0.0,0.0,128.0,15114.0,80.03846153846153,2008.25,1.6300384615384615,0.09800000000000002,0.0,0.0,52.0,pd2.hog12.late40.slohog_ttft.s20260823,ood,0.8245122092098423
0.23076923076923078,0.0,0.0,128.0,15114.0,80.03846153846153,2008.25,0.6031153846153846,0.128,0.0,0.0,52.0,pd2.hog12.late40.slolate_ttft.s20260823,ood,0.8066337376321366
0.375,0.0,0.0,128.0,16384.0,83.53125,3728.71875,1.3522812499999999,0.09799999999999999,0.0,0.0,64.0,pd2.hog24.late40.slohog_ttft.s20260823,ood,0.9463600574825828
0.375,0.0,0.0,128.0,16384.0,83.53125,3728.71875,0.8835312500000001,0.128,0.0,0.0,64.0,pd2.hog24.late40.slolate_ttft.s20260823,ood,0.9278569557175489
