policy,regime,n_total,n_completed,n_failed,n_dropped,n_declined_admission,n_never_admitted,completion_fraction,ttft_stats,server_latency_stats,total_wall_time_stats,mean_output_tokens,conditional_weighted_goodput,arrival_normalized_weighted_goodput,slo_violation_rate_among_completed,request_throughput_per_sec,output_token_throughput_per_sec,policy_wall_clock_seconds
least_laxity_first,overloaded_mixed_priority,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.018744156101537453, 'p50': 0.018206584500148892, 'p95': 0.027045842917868865, 'p99': 0.028383190185413697}","{'count': 180, 'mean': 1.5015302019950467, 'p50': 1.3610056755132973, 'p95': 2.8539896209549624, 'p99': 2.967302946373238}","{'count': 180, 'mean': 2.605628888888889, 'p50': 2.009, 'p95': 6.967819999999983, 'p99': 11.26315800000002}",276.73333333333335,0.09829059829059829,0.09829059829059829,0.7944444444444444,0.3791589420977504,104.9259179098508,474.73494625795865
least_laxity_first,steady_moderate,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.020281979693229205, 'p50': 0.017931935988599434, 'p95': 0.037341736070811746, 'p99': 0.0412125506560551}","{'count': 180, 'mean': 1.4886095682146132, 'p50': 1.3462036034907214, 'p95': 2.8511529376206455, 'p99': 2.8679508946306305}","{'count': 180, 'mean': 2.7304905555555554, 'p50': 1.8912499999999999, 'p95': 6.687599999999992, 'p99': 10.983015000000014}",272.4222222222222,0.4603658536585366,0.4603658536585366,0.4166666666666667,0.3791589420977504,103.29132158169605,474.73494625795865
selector,bursty_tight,180,165,15,15,15,0,0.9166666666666666,"{'count': 165, 'mean': 0.02035178275616614, 'p50': 0.01928025099914521, 'p95': 0.027297972224187103, 'p99': 0.05780970435822343}","{'count': 165, 'mean': 1.4219106203925824, 'p50': 1.3084231509710662, 'p95': 2.7898504915996454, 'p99': 2.798106131728273}","{'count': 165, 'mean': 2.344130909090909, 'p50': 1.5314, 'p95': 5.6245199999999995, 'p99': 9.188883999999966}",265.9878787878788,0.1952662721893491,0.17899408284023668,0.7212121212121212,0.3986836914604638,106.0450293988899,413.861924965051
selector,overloaded_mixed_priority,180,143,37,37,37,0,0.7944444444444444,"{'count': 143, 'mean': 0.02006495467686726, 'p50': 0.01890876895049587, 'p95': 0.027398414036724716, 'p99': 0.054480340447044175}","{'count': 143, 'mean': 1.3246094656552976, 'p50': 0.9997090389952064, 'p95': 2.798332649242366, 'p99': 2.8319266251416413}","{'count': 143, 'mean': 2.0500664335664336, 'p50': 1.5244, 'p95': 5.446570000000001, 'p99': 6.344320000000014}",247.51048951048952,0.11799410029498525,0.0937397574565716,0.7412587412587412,0.3455258659324019,85.52127621546457,413.861924965051
selector,steady_moderate,180,175,5,5,5,0,0.9722222222222222,"{'count': 175, 'mean': 0.017974913678065474, 'p50': 0.016155091987457126, 'p95': 0.026764437509700655, 'p99': 0.033740231256233495}","{'count': 175, 'mean': 1.427333458931784, 'p50': 1.3161705280072056, 'p95': 2.7754441259952727, 'p99': 2.7942288851039483}","{'count': 175, 'mean': 2.6784628571428573, 'p50': 2.047, 'p95': 6.229389999999989, 'p99': 10.905185999999972}",270.42285714285714,0.4536741214057508,0.4410720624778133,0.42857142857142855,0.4228463394277646,114.34731524045446,413.861924965051
shortest_output_first,bursty_tight,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.01889126240760864, 'p50': 0.017785847012419254, 'p95': 0.027060255120159124, 'p99': 0.027880616124602967}","{'count': 180, 'mean': 1.5006201761829692, 'p50': 1.3437542019819375, 'p95': 2.829158984962851, 'p99': 2.862836873640772}","{'count': 180, 'mean': 2.5670933333333332, 'p50': 1.82505, 'p95': 7.156689999999988, 'p99': 11.23521100000002}",275.52222222222224,0.1935483870967742,0.1935483870967742,0.7055555555555556,0.38061645886488993,104.8682925608075,472.9170160870417
shortest_output_first,overloaded_mixed_priority,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.018271091004135088, 'p50': 0.017282521002925932, 'p95': 0.025388334193849005, 'p99': 0.028842307848972272}","{'count': 180, 'mean': 1.478562585926395, 'p50': 1.316120122995926, 'p95': 2.8014246166072554, 'p99': 2.8091132385400126}","{'count': 180, 'mean': 2.536641111111111, 'p50': 1.95365, 'p95': 7.019174999999985, 'p99': 11.05841200000002}",276.4888888888889,0.13247863247863248,0.13247863247863248,0.7277777777777777,0.38061645886488993,105.2362218043769,472.9170160870417
shortest_output_first,steady_moderate,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.020612044852330452, 'p50': 0.0192455685173627, 'p95': 0.037505030637839804, 'p99': 0.040376006460865026}","{'count': 180, 'mean': 1.4926031861709714, 'p50': 1.33861198098748, 'p95': 2.934330842483905, 'p99': 2.9994064245780465}","{'count': 180, 'mean': 2.730163333333333, 'p50': 1.9007999999999998, 'p95': 7.0549499999999945, 'p99': 11.046961000000014}",272.1722222222222,0.4573170731707317,0.4573170731707317,0.4166666666666667,0.38061645886488993,103.59322742361013,472.9170160870417
vllm_direct,bursty_tight,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.018993190439586114, 'p50': 0.01783463201718405, 'p95': 0.027822689016466028, 'p99': 0.03267728458333295}","{'count': 180, 'mean': 1.4749641616925753, 'p50': 1.3218694430252071, 'p95': 2.8262751717760692, 'p99': 2.846136853690841}","{'count': 180, 'mean': 2.525933888888889, 'p50': 1.73725, 'p95': 6.944479999999984, 'p99': 11.19340000000002}",275.1166666666667,0.1935483870967742,0.1935483870967742,0.7055555555555556,0.38544885208509905,106.0434033561455,466.98802973801503
vllm_direct,overloaded_mixed_priority,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.018775691609092367, 'p50': 0.01794115049415268, 'p95': 0.027001659528468724, 'p99': 0.03119466686504895}","{'count': 180, 'mean': 1.4836747544306692, 'p50': 1.3236664124706294, 'p95': 2.818162792225485, 'p99': 2.854438188293134}","{'count': 180, 'mean': 2.5392333333333332, 'p50': 1.75535, 'p95': 6.934334999999984, 'p99': 11.03057600000002}",276.7055555555556,0.1282051282051282,0.1282051282051282,0.7333333333333333,0.38544885208509905,106.6558387544585,466.98802973801503
vllm_direct,steady_moderate,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.020157846201780356, 'p50': 0.018422758032102138, 'p95': 0.036694980424363165, 'p99': 0.03963481542188676}","{'count': 180, 'mean': 1.4434994983393052, 'p50': 1.3169201859855093, 'p95': 2.767809840411064, 'p99': 2.775013799192966}","{'count': 180, 'mean': 2.655046111111111, 'p50': 1.9201000000000001, 'p95': 6.448394999999992, 'p99': 10.800107000000013}",272.2888888888889,0.45121951219512196,0.45121951219512196,0.4222222222222222,0.38544885208509905,104.95343965774931,466.98802973801503
