active_sequence_capacity_binding_states,active_sequence_capacity_near_binding_states,canonical_action_collapse_states,completion_fraction,disagreement_rate,disagreement_states,kv_capacity_binding_or_over_requested_states,kv_capacity_near_binding_states,max_active_sequences,max_kv_utilization,max_queue_length,mean_active_sequences,mean_kv_utilization,mean_queue_length,no_policy_choice_states,policy_ranking_proxy_difference_states,requests,sbs_arrival_normalized_weighted_goodput,sbs_decision_states,scenario_id,schema_version,source_dataset,token_budget_binding_proxy_states,true_canonical_disagreement_states,unique_alternative_canonical_action_hashes,window_index,windows_with_disagreement
0,0,10,1.0,0.0,0,0,0,8,0.0027155,3,1.430350840772265,0.00043584069441561144,0.04151961801951422,4817,10,200,1.0,4817,PUBLIC_TRACE::azure_2023_code::w20::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,20,0
0,0,12,1.0,0.0,0,0,0,7,0.001623125,3,1.630226700251889,0.0003802608942065491,0.05037783375314862,3970,12,200,1.0,3970,PUBLIC_TRACE::azure_2023_code::w22::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,22,0
0,0,7,1.0,0.0,0,0,0,6,0.001438875,4,1.2624897624897624,0.00030997609541359543,0.04095004095004095,4884,7,200,1.0,4884,PUBLIC_TRACE::azure_2023_code::w24::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,24,0
0,0,15,1.0,0.0,0,0,0,7,0.001794125,3,1.3799126637554586,0.00033313050813815005,0.03969829297340215,5038,15,200,1.0,5038,PUBLIC_TRACE::azure_2023_code::w26::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,26,0
0,0,14,1.0,0.0,0,0,0,5,0.0014675,3,1.128266438941076,0.0003530492954739539,0.034158838599487616,5855,14,200,1.0,5855,PUBLIC_TRACE::azure_2023_code::w28::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,28,0
0,0,11,1.0,0.0,0,0,0,8,0.00256375,3,1.381578947368421,0.0004562614348370928,0.04177109440267335,4788,11,200,1.0,4788,PUBLIC_TRACE::azure_2023_code::w30::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,30,0
0,0,8,1.0,0.0,0,0,0,5,0.0015365,3,1.1978551445446068,0.00024895345041964565,0.031084861672365557,6434,8,200,1.0,6434,PUBLIC_TRACE::azure_2023_code::w32::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,32,0
0,0,4,1.0,0.0,0,0,0,4,0.001413,3,1.1260838663823738,0.00020916847903340442,0.028429282160625444,7035,4,200,1.0,7035,PUBLIC_TRACE::azure_2023_code::w34::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,34,0
0,0,7,1.0,0.0,0,0,0,6,0.001457,2,1.3550711250692777,0.0003525757435802697,0.03694808793644929,5413,7,200,1.0,5413,PUBLIC_TRACE::azure_2023_code::w36::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,36,0
0,0,18,1.0,0.0,0,0,0,8,0.001698625,3,1.4553950722175022,0.00032285798109600675,0.04248088360237893,4708,18,200,1.0,4708,PUBLIC_TRACE::azure_2023_code::w38::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,38,0
0,0,1,1.0,0.0,0,0,0,7,0.001097375,2,1.7057614652437265,0.00023007850356936832,0.007210845111047015,27736,1,200,1.0,27736,PUBLIC_TRACE::azure_2023_conv::w0::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,0,0
0,0,0,1.0,0.0,0,0,0,6,0.001432375,1,1.7685386420933669,0.00026923351516995565,0.00869338433452143,23006,0,200,1.0,23006,PUBLIC_TRACE::azure_2023_conv::w4::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,4,0
0,0,0,1.0,0.0,0,0,0,5,0.0010475,1,1.6881646440635556,0.0002753084143938446,0.006255473539346928,31972,0,200,1.0,31972,PUBLIC_TRACE::azure_2023_conv::w8::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,8,0
0,0,1,1.0,0.0,0,0,0,6,0.00129275,2,1.7432270618170933,0.00029267270056877715,0.0074839095943721,26724,1,200,1.0,26724,PUBLIC_TRACE::azure_2023_conv::w12::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,12,0
0,0,1,1.0,0.0,0,0,0,6,0.001212875,2,1.6455048553826876,0.0002667047918624482,0.0069611221328878215,28731,1,200,1.0,28731,PUBLIC_TRACE::azure_2023_conv::w16::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,16,0
0,0,2,1.0,0.0,0,0,0,5,0.00112625,2,1.7231105487173588,0.0002573414720656467,0.007669005713409257,26079,2,200,1.0,26079,PUBLIC_TRACE::azure_2023_conv::w20::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,20,0
0,0,1,1.0,0.0,0,0,0,6,0.001349375,2,1.7688727692900243,0.00026375809635383236,0.006419309282321223,31156,1,200,1.0,31156,PUBLIC_TRACE::azure_2023_conv::w24::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,24,0
0,0,4,1.0,0.0,0,0,0,5,0.00172775,2,1.894482047604106,0.0002851151329060021,0.00896499170738267,22309,4,200,1.0,22309,PUBLIC_TRACE::azure_2023_conv::w28::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,28,0
0,0,3,1.0,0.0,0,0,0,5,0.001153375,2,1.955989071971314,0.00029653126333987876,0.00853752241099633,23426,3,200,1.0,23426,PUBLIC_TRACE::azure_2023_conv::w32::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,32,0
0,0,3,1.0,0.0,0,0,0,6,0.0011405,2,1.7412422423962661,0.00027176732958916755,0.010257988408473098,19497,3,200,1.0,19497,PUBLIC_TRACE::azure_2023_conv::w36::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,36,0
0,0,0,1.0,0.0,0,0,0,5,0.001287875,1,1.677224451262686,0.0002883520179372197,0.009440641963653528,21185,0,200,1.0,21185,PUBLIC_TRACE::azure_2023_conv::w40::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,40,0
0,0,0,1.0,0.0,0,0,0,5,0.001318125,1,1.6087703703703704,0.0002531558,0.011851851851851851,16875,0,200,1.0,16875,PUBLIC_TRACE::azure_2023_conv::w44::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,44,0
0,0,1,1.0,0.0,0,0,0,5,0.00138775,2,1.500836820083682,0.00022299978332337118,0.011954572624028692,16730,1,200,1.0,16730,PUBLIC_TRACE::azure_2023_conv::w48::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,48,0
0,0,1,1.0,0.0,0,0,0,6,0.001178125,2,1.5762515968124582,0.0002548406153050672,0.012166190157552163,16439,1,200,1.0,16439,PUBLIC_TRACE::azure_2023_conv::w52::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,52,0
0,0,1,1.0,0.0,0,0,0,4,0.001345375,2,1.51110088577016,0.00024357786437363395,0.011503508570113884,17386,1,200,1.0,17386,PUBLIC_TRACE::azure_2023_conv::w56::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,56,0
0,0,0,1.0,0.0,0,0,0,4,0.00099875,2,1.6410577452797115,0.00021828272274252518,0.010016527269995492,19967,0,200,1.0,19967,PUBLIC_TRACE::azure_2023_conv::w60::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,60,0
0,0,0,1.0,0.0,0,0,0,5,0.000789,2,1.5511032068026456,0.00019169982771077642,0.011115433779803258,17993,0,200,1.0,17993,PUBLIC_TRACE::azure_2023_conv::w64::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,64,0
0,0,1,1.0,0.0,0,0,0,5,0.000799375,2,1.6849658058970813,0.0002466886841810232,0.0074741208565342505,26759,1,200,1.0,26759,PUBLIC_TRACE::azure_2023_conv::w68::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,68,0
0,0,1,1.0,0.0,0,0,0,5,0.000707875,2,1.6395108717658016,0.00022474173988743572,0.00809814957282261,24697,1,200,1.0,24697,PUBLIC_TRACE::azure_2023_conv::w72::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,72,0
0,0,1,1.0,0.0,0,0,0,7,0.001265125,2,1.8508448408954457,0.0002997669772278926,0.008577064928381508,23318,1,200,1.0,23318,PUBLIC_TRACE::azure_2023_conv::w76::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,76,0
0,0,0,1.0,0.0,0,0,0,2,0.000402,2,1.0040207983464668,0.00012107697043340653,0.0032295569047926624,61928,0,200,1.0,61928,PUBLIC_TRACE::burstgpt::w0::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,0,0
0,0,25,1.0,0.0,0,0,0,3,0.0012015,3,1.2609565128969935,0.00044590390807714466,0.006778971630003729,29503,25,200,1.0,29503,PUBLIC_TRACE::burstgpt::w351::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,351,0
0,0,43,1.0,0.0,0,0,0,8,0.000622625,8,2.8400468595115798,0.00014722702081643686,0.01802288906911778,11097,43,200,1.0,11097,PUBLIC_TRACE::burstgpt::w702::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,702,0
0,0,33,1.0,0.0,0,0,0,8,0.000212125,8,3.2766369624176677,7.258486697662406e-05,0.025829781738344312,7743,33,200,1.0,7743,PUBLIC_TRACE::burstgpt::w1053::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,1053,0
0,0,2,1.0,0.0,0,0,0,2,0.00041875,2,1.0066604848923466,0.0001594156809752126,0.0022616247512212773,88432,2,200,1.0,88432,PUBLIC_TRACE::burstgpt::w1404::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,1404,0
0,0,14,1.0,0.0,0,0,0,10,0.000410375,10,1.265889665889666,0.00018516172299922298,0.00777000777000777,25740,14,200,1.0,25740,PUBLIC_TRACE::burstgpt::w1755::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,1755,0
0,0,39,1.0,0.0,0,0,0,4,0.001556875,4,1.3631965413121054,0.0004517518228451825,0.006862475981334065,29144,39,200,1.0,29144,PUBLIC_TRACE::burstgpt::w2106::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,2106,0
0,0,37,1.0,0.0,0,0,0,4,0.000484375,4,1.0519408297186075,0.0003077068179290402,0.022244466688911134,8991,37,200,1.0,8991,PUBLIC_TRACE::burstgpt::w2457::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,2457,0
0,0,31,1.0,0.0,0,0,0,8,0.002048375,8,2.445259847236783,0.00047701471469222705,0.029953571963456643,6677,31,200,1.0,6677,PUBLIC_TRACE::burstgpt::w2808::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,2808,0
0,0,14,1.0,0.0,0,0,0,31,0.003802,31,3.684034919329037,0.0005877275812422872,0.009141185611773846,21879,14,200,1.0,21879,PUBLIC_TRACE::burstgpt::w3159::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,3159,0
0,0,39,1.0,0.0,0,0,0,7,0.00168925,7,2.424459440848368,0.0005909443086351743,0.027544415369783776,7261,39,200,1.0,7261,PUBLIC_TRACE::burstgpt::w3510::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,3510,0
0,0,11,1.0,0.0,0,0,0,3,0.000394125,3,1.0325647729973852,0.00011671470911575946,0.01188495364868077,16828,11,200,1.0,16828,PUBLIC_TRACE::burstgpt::w3861::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,3861,0
0,0,36,1.0,0.0,0,0,0,4,0.000350125,4,1.3585850158518271,0.00013124945770065077,0.03337226764558652,5993,36,200,1.0,5993,PUBLIC_TRACE::burstgpt::w4212::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,4212,0
0,0,11,1.0,0.0,0,0,0,3,0.00050975,3,1.0507293293217046,0.00014673460410557186,0.0076170164146703735,26257,11,200,1.0,26257,PUBLIC_TRACE::burstgpt::w4563::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,4563,0
0,0,2,1.0,0.0,0,0,0,2,0.000233375,2,0.9231759656652361,0.00010372875536480686,0.08583690987124463,2330,2,200,1.0,2330,PUBLIC_TRACE::burstgpt::w4914::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,4914,0
0,0,36,1.0,0.0,0,0,0,5,0.0017145,5,1.5203730745678081,0.0005144982099957605,0.009421074944651185,21229,36,200,1.0,21229,PUBLIC_TRACE::burstgpt::w5265::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,5265,0
0,0,5,1.0,0.0,0,0,0,2,0.000508375,2,1.0145988906763992,0.0001608267132086345,0.004802266669868178,41647,5,200,1.0,41647,PUBLIC_TRACE::burstgpt::w5616::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,5616,0
0,0,8,1.0,0.0,0,0,0,2,0.000451125,2,1.0055792016565053,0.00015599677182790754,0.011503508570113884,17386,8,200,1.0,17386,PUBLIC_TRACE::burstgpt::w5967::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,5967,0
0,0,38,1.0,0.0,0,0,0,6,0.00041925,6,1.356773211567732,0.00015436019786910194,0.060882800608828,3285,38,200,1.0,3285,PUBLIC_TRACE::burstgpt::w6318::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,6318,0
0,0,38,1.0,0.0,0,0,0,3,0.00071975,3,1.0573758964983828,0.0005207650646885108,0.02812543945999156,7111,38,200,1.0,7111,PUBLIC_TRACE::burstgpt::w6669::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,6669,0
