scenario_id,policy_name,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,mean_ttft,p95_ttft,p99_ttft,mean_tpot,p95_tpot,mean_queuing_delay,mean_prefill_delay_s,request_throughput,token_throughput,hog_n,late_n,hog_mean_ttft,hog_p95_ttft,hog_mean_tpot,hog_p95_tpot,hog_slo_success,hog_ttft_attainment,late_mean_ttft,late_p95_ttft,late_mean_tpot,late_p95_tpot,late_slo_success,late_ttft_attainment,global_tbt_attainment,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturation_fraction,mean_num_decoding,mean_num_prefilling,fraction_prefill_tokens_while_decodes_active,mean_theoretical_chunks,mean_interchunk_extra_wait_s,steps_decode_active_prefill_stalled,mean_num_prefilling_saturated,mean_num_decoding_saturated,n_saturated_steps,status
pd2.hog12.late12.slolate_ttft.s20260821,chunked_prefill_small,1.0,1.0,1.0,0.06947791529762364,0.14411221617915984,0.14931195879520756,0.001,0.0010000000000000002,0.0005195819642903011,0.06895833333333333,81.08108108108108,6658.783783783784,12.0,12.0,0.09887762895667541,0.14767386998758392,0.001,0.0010000000000000002,1.0,1.0,0.04007820163857184,0.057834636635278644,0.0010000000000000002,0.0010000000000000002,1.0,1.0,1.0,0,0,0,72,612,0.25252525252525254,6.636363636363637,5.491582491582491,0.9504134825113374,41.958333333333336,0.027,72,16.333333333333332,4.293333333333333,75,success
pd2.hog12.late12.slolate_ttft.s20260823,chunked_prefill_small,1.0,1.0,1.0,0.078705392870421,0.13804350030062595,0.14041816457221082,0.001,0.0010000000000000002,0.0005803928704209914,0.078125,81.63265306122449,7585.034013605443,12.0,12.0,0.10017763097776884,0.1397373818682459,0.0010000000000000002,0.001,1.0,1.0,0.05723315476307314,0.06291268397610526,0.0010000000000000002,0.001,1.0,1.0,1.0,0,0,0,77,850,0.2711864406779661,7.559322033898305,6.274576271186441,0.5062798852406758,41.541666666666664,0.036583333333333336,29,18.8,2.1875,80,success
pd2.hog12.late40.slohog_ttft.s20260820,chunked_prefill_small,0.7692307692307693,0.7692307692307693,1.0,0.042620710055471224,0.11481353508135206,0.12384226262740276,0.001,0.0010000000000000002,0.000524556209317376,0.04209615384615385,189.7810218978102,16069.343065693429,12.0,40.0,0.09350096797665962,0.12325135194446175,0.001,0.0010000000000000002,0.0,0.0,0.02735663267911471,0.05463730027827692,0.001,0.0010000000000000002,1.0,1.0,1.0,0,0,0,91,1115,0.3490909090909091,16.01090909090909,7.7709090909090905,0.9337998622832162,19.326923076923077,0.02276923076923077,91,19.854166666666668,8.489583333333334,96,success
pd2.hog12.late40.slohog_ttft.s20260821,full_prefill,0.8846153846153846,0.8846153846153846,1.0,0.04876882487114916,0.0904149558549107,0.09443160496900088,0.001,0.0010000000000000002,0.0005380556403799278,0.04823076923076923,178.08219178082192,14773.972602739726,12.0,40.0,0.04989510874871573,0.08981866558158896,0.0010000000000000002,0.001,0.5,0.5,0.04843093970787919,0.09040495491694348,0.0009999999999999998,0.0010000000000000002,1.0,1.0,1.0,0,0,0,128,2273,0.447098976109215,14.723549488054607,8.382252559726963,0.9235809489693876,1.0,0.04723076923076923,121,18.6793893129771,8.694656488549619,131,success
pd2.hog12.late12.slolate_ttft.s20260823,full_prefill,0.7083333333333334,0.7083333333333334,1.0,0.064955392870421,0.09078271691334822,0.09164368512867116,0.001,0.0010000000000000002,0.0005803928704209914,0.064375,95.23809523809524,8849.20634920635,12.0,12.0,0.05051096431110217,0.08709174522633242,0.0010000000000000002,0.001,1.0,1.0,0.07939982142973981,0.08970403608217455,0.0010000000000000002,0.0010000000000000002,0.4166666666666667,0.4166666666666667,1.0,0,0,0,120,1374,0.48616600790513836,8.814229249011857,6.011857707509882,0.9265540325151419,1.0,0.063375,114,12.325203252032521,5.764227642276423,123,success
pd2.hog12.late40.slohog_ttft.s20260822,full_prefill,0.8846153846153846,0.8846153846153846,1.0,0.038960167730664935,0.08873629374189426,0.09358200358472286,0.001,0.0010000000000000002,0.0005178600383572417,0.03844230769230769,168.28478964401296,14200.647249190939,12.0,40.0,0.05302994352866735,0.09119071088225622,0.001,0.001,0.5,0.5,0.03473923499126421,0.08709480407663514,0.001,0.0010000000000000002,1.0,1.0,1.0,0,0,0,125,1767,0.4129032258064516,14.154838709677419,6.280645161290322,0.922918266263192,1.0,0.037442307692307705,118,15.046875,8.28125,128,success
pd2.hog12.late40.slohog_ttft.s20260821,chunked_prefill_small,0.7692307692307693,0.7692307692307693,1.0,0.04576882487114916,0.13525746009875697,0.14946378883246772,0.001,0.0010000000000000002,0.0005380556403799278,0.045230769230769234,176.27118644067798,14623.728813559323,12.0,40.0,0.09997844208204908,0.14936578569705244,0.0009999999999999998,0.0010000000000000002,0.0,0.0,0.029505939707879188,0.05638172516684277,0.001,0.0010000000000000002,1.0,1.0,1.0,0,0,0,87,1203,0.30405405405405406,14.574324324324325,7.77027027027027,0.9588053553038105,20.653846153846153,0.024576923076923083,87,21.655555555555555,8.755555555555556,90,success
pd2.hog12.late12.slolate_ttft.s20260822,chunked_prefill_small,1.0,1.0,1.0,0.07666187944740853,0.13922105586187622,0.15250239874700805,0.001,0.0010000000000000002,0.00045354611407520527,0.07620833333333334,76.6773162939297,7198.083067092652,12.0,12.0,0.10212364228605791,0.1470128375273468,0.0010000000000000002,0.0010000000000000002,1.0,1.0,0.05120011660875917,0.06309942606494952,0.0010000000000000002,0.0010000000000000002,1.0,1.0,1.0,0,0,0,70,794,0.2356687898089172,7.17515923566879,5.748407643312102,0.8485396580739529,41.916666666666664,0.03429166666666667,58,18.89189189189189,2.324324324324324,74,success
pd2.hog12.late40.slohog_ttft.s20260822,chunked_prefill_small,0.7692307692307693,0.7692307692307693,1.0,0.04051786003835724,0.12990927757265885,0.14772249918104607,0.001,0.0010000000000000002,0.0005178600383572417,0.04000000000000001,166.13418530351439,14019.169329073482,12.0,40.0,0.10202994352866734,0.14705148929607564,0.0010000000000000002,0.0010000000000000002,0.0,0.0,0.022064234991264215,0.06154029244425938,0.001,0.0010000000000000002,1.0,1.0,1.0,0,0,0,80,951,0.2611464968152866,13.97452229299363,6.45859872611465,0.854161961971004,20.53846153846154,0.01946153846153846,67,19.79268292682927,4.7439024390243905,82,success
pd2.hog12.late40.slohog_ttft.s20260820,full_prefill,0.9038461538461539,0.9038461538461539,1.0,0.041909171593932766,0.07726876858074563,0.08327744777306438,0.001,0.0010000000000000002,0.000524556209317376,0.04138461538461537,190.47619047619045,16128.205128205127,12.0,40.0,0.04733430130999292,0.08031519075794627,0.0010000000000000002,0.001,0.5833333333333334,0.5,0.04028163267911471,0.07668410161202886,0.0010000000000000002,0.0010000000000000002,1.0,1.0,1.0,0,0,0,118,1926,0.44525547445255476,16.06934306569343,7.664233576642336,0.9180104728810031,1.0,0.04038461538461538,111,17.139344262295083,6.557377049180328,122,success
