active_sequence_capacity_binding_states,arrival_multiplier,axis,axis_value,canonical_action_collapse_states,completed_window_count,condition_id,disagreement_rate,disagreement_states,invalid_window_count,kv_capacity_binding_or_over_requested_states,kv_capacity_near_binding_states,max_active_pressure,max_active_sequences,max_active_sequences_param,max_kv_pressure,max_kv_tokens_param,max_kv_utilization,max_queue_length,mean_active_pressure,mean_active_sequences,mean_completion_fraction,mean_kv_pressure,mean_kv_utilization,mean_queue_length,min_completion_fraction,no_policy_choice_states,policy_ranking_proxy_difference_states,pressure_order,pressure_regime_class,requests,sbs_decision_states,schema_version,source_dataset,token_budget_binding_proxy_states,true_canonical_disagreement_states,unfinished_request_count,windows,windows_with_disagreement
0,0.5,arrival_pressure,0.5,11,20,arrival_x0p5,0.0,0,0,0,0,0.009765625,5,512,0.001351,8000000,0.001351,2,0.0025833961197668986,1.322698813320652,1.0,0.00020139626469906205,0.00020139626469906205,0.006721491633423289,1.0,595106,11,0,VALID_UNCONSTRAINED,4000,595106,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,arrival_pressure,1.0,22,20,arrival_x1p0,0.0,0,0,0,0,0.013671875,7,512,0.00172775,8000000,0.00172775,2,0.003328465581945301,1.7041743779559941,1.0,0.00025949180655216077,0.00025949180655216077,0.008658289771312921,1.0,461985,22,1,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,2.0,arrival_pressure,2.0,30,20,arrival_x2p0,0.0,0,0,0,0,0.01953125,10,512,0.002221125,8000000,0.002221125,2,0.005011901840553266,2.566093742363272,1.0,0.00039074757416790207,0.00039074757416790207,0.013033349081963474,1.0,306905,30,2,VALID_UNCONSTRAINED,4000,306905,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,4.0,arrival_pressure,4.0,52,20,arrival_x4p0,0.0,0,0,0,0,0.033203125,17,512,0.0026015,8000000,0.0026015,3,0.008940644425724743,4.577609945971068,1.0,0.0006969763529018765,0.0006969763529018765,0.02323825015976297,1.0,172130,52,3,VALID_UNCONSTRAINED,4000,172130,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,8.0,arrival_pressure,8.0,69,20,arrival_x8p0,0.0,0,0,0,0,0.046875,24,512,0.00402125,8000000,0.00402125,3,0.016745888095315745,8.573894704801662,1.0,0.0013043170881844568,0.0013043170881844568,0.043483459978910524,1.0,91989,69,4,VALID_UNCONSTRAINED,4000,91989,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,kv_capacity,8000000.0,22,20,kv_8000000,0.0,0,0,0,0,0.013671875,7,512,0.00172775,8000000,0.00172775,2,0.003328465581945301,1.7041743779559941,1.0,0.00025949180655216077,0.00025949180655216077,0.008658289771312921,1.0,461985,22,0,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,kv_capacity,240000.0,22,20,kv_240000,0.0,0,0,0,0,0.013671875,7,512,0.057591666666666666,240000,0.057591666666666666,2,0.003328465581945301,1.7041743779559941,1.0,0.008649726885072026,0.008649726885072026,0.008658289771312921,1.0,461985,22,1,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,kv_capacity,120000.0,22,20,kv_120000,0.0,0,0,0,0,0.013671875,7,512,0.11518333333333333,120000,0.11518333333333333,2,0.003328465581945301,1.7041743779559941,1.0,0.017299453770144052,0.017299453770144052,0.008658289771312921,1.0,461985,22,2,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,kv_capacity,60000.0,22,20,kv_60000,0.0,0,0,0,0,0.013671875,7,512,0.23036666666666666,60000,0.23036666666666666,2,0.003328465581945301,1.7041743779559941,1.0,0.034598907540288104,0.034598907540288104,0.008658289771312921,1.0,461985,22,3,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,kv_capacity,32000.0,22,20,kv_32000,0.0,0,0,0,0,0.013671875,7,512,0.4319375,32000,0.4319375,2,0.003328465581945301,1.7041743779559941,1.0,0.0648729516380402,0.0648729516380402,0.008658289771312921,1.0,461985,22,4,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,kv_capacity,16000.0,22,20,kv_16000,3.896230397090815e-05,18,0,0,0,0.013671875,7,512,0.7161875,16000,0.7161875,2,0.0033284698096258535,1.704176542528437,1.0,0.12974590435836664,0.12974590435836664,0.00869725207528383,1.0,461967,22,5,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,18,0,20,1
0,1.0,kv_capacity,8000.0,59,20,kv_8000,0.02182671486373401,10120,0,6548,445,0.01171875,6,512,1.358625,8000,1.358625,3,0.0033174631782026177,1.6985411472397403,1.0,0.2585730011409419,0.2585730011409419,0.04500573706141675,1.0,453532,366,6,VALID_STRONGLY_CONSTRAINED,4000,463652,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,10120,0,20,17
0,1.0,active_sequence_capacity,512.0,462,20,active_512,0.0,0,0,0,0,0.060546875,31,512,0.003802,8000000,0.003802,31,0.0026642895171195636,1.3641162327652165,1.0,0.000248303167022733,0.000248303167022733,0.00908139426646173,1.0,440461,462,0,VALID_UNCONSTRAINED,4000,440461,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,1.0,active_sequence_capacity,64.0,462,20,active_64,0.0,0,0,0,0,0.484375,31,64,0.003802,8000000,0.003802,31,0.02131431613695651,1.3641162327652165,1.0,0.000248303167022733,0.000248303167022733,0.00908139426646173,1.0,440461,462,1,VALID_UNCONSTRAINED,4000,440461,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,1.0,active_sequence_capacity,32.0,462,20,active_32,0.0,0,0,0,0,0.96875,31,32,0.003802,8000000,0.003802,31,0.04262863227391302,1.3641162327652165,1.0,0.000248303167022733,0.000248303167022733,0.00908139426646173,1.0,440461,462,2,VALID_PARTIALLY_CONSTRAINED,4000,440461,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
1473,1.0,active_sequence_capacity,16.0,676,20,active_16,3.1768291160926815e-05,14,0,0,0,1.0,16,16,0.003670625,8000000,0.003670625,31,0.08514852243408647,1.3623763589453834,1.0,0.0002482119095352526,0.0002482119095352526,0.016884846752032605,1.0,440677,689,3,VALID_STRONGLY_CONSTRAINED,4000,440691,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,14,0,20,1
5673,1.0,active_sequence_capacity,8.0,4242,20,active_8,0.00017099055277195935,76,0,0,0,1.0,8,8,0.002449625,8000000,0.002449625,31,0.16855084381587918,1.3484067505270334,1.0,0.00024615078160681626,0.00024615078160681626,0.07284647523224341,1.0,444393,4306,4,VALID_STRONGLY_CONSTRAINED,4000,444469,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,76,0,20,2
25650,1.0,active_sequence_capacity,4.0,11811,20,active_4,0.0005354963875940411,244,0,0,0,1.0,4,4,0.0015645,8000000,0.0015645,31,0.32815065005750005,1.3126026002300002,1.0,0.0002402066585354613,0.0002402066585354613,0.2079262243993223,1.0,455408,12018,5,VALID_STRONGLY_CONSTRAINED,4000,455652,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,244,0,20,8
0,0.5,arrival_pressure,0.5,462,20,arrival_x0p5,0.0,0,0,0,0,0.060546875,31,512,0.003802,8000000,0.003802,31,0.002656954346728492,1.3603606255249878,1.0,0.00024761960720164284,0.00024761960720164284,0.009056391888189786,1.0,441677,462,0,VALID_UNCONSTRAINED,4000,441677,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,1.0,arrival_pressure,1.0,462,20,arrival_x1p0,0.0,0,0,0,0,0.060546875,31,512,0.003802,8000000,0.003802,31,0.0026642895171195636,1.3641162327652165,1.0,0.000248303167022733,0.000248303167022733,0.00908139426646173,1.0,440461,462,1,VALID_UNCONSTRAINED,4000,440461,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,2.0,arrival_pressure,2.0,462,20,arrival_x2p0,0.0,0,0,0,0,0.060546875,31,512,0.003802,8000000,0.003802,31,0.0026817987278500684,1.373080948659235,1.0,0.00024993477710667154,0.00024993477710667154,0.009141060271580901,1.0,437586,462,2,VALID_UNCONSTRAINED,4000,437586,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,4.0,arrival_pressure,4.0,462,20,arrival_x4p0,0.0,0,0,0,0,0.060546875,31,512,0.003802,8000000,0.003802,31,0.002765037610593405,1.4156992566238233,1.0,0.00025769136546776146,0.00025769136546776146,0.009424737579963007,1.0,424415,462,3,VALID_UNCONSTRAINED,4000,424415,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,8.0,arrival_pressure,8.0,462,20,arrival_x8p0,0.0,0,0,0,0,0.083984375,43,512,0.007032375,8000000,0.007032375,31,0.0030441771212423837,1.5586186860761004,1.0,0.0002836933400472612,0.0002836933400472612,0.010375677337186168,1.0,385517,462,4,VALID_UNCONSTRAINED,4000,385517,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,1.0,kv_capacity,8000000.0,462,20,kv_8000000,0.0,0,0,0,0,0.060546875,31,512,0.003802,8000000,0.003802,31,0.0026642895171195636,1.3641162327652165,1.0,0.000248303167022733,0.000248303167022733,0.00908139426646173,1.0,440461,462,0,VALID_UNCONSTRAINED,4000,440461,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,1.0,kv_capacity,240000.0,462,20,kv_240000,0.0,0,0,0,0,0.060546875,31,512,0.12673333333333334,240000,0.12673333333333334,31,0.0026642895171195636,1.3641162327652165,1.0,0.008276772234091099,0.008276772234091099,0.00908139426646173,1.0,440461,462,1,VALID_UNCONSTRAINED,4000,440461,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,1.0,kv_capacity,120000.0,462,20,kv_120000,0.0,0,0,0,0,0.060546875,31,512,0.2534666666666667,120000,0.2534666666666667,31,0.0026642895171195636,1.3641162327652165,1.0,0.016553544468182198,0.016553544468182198,0.00908139426646173,1.0,440461,462,2,VALID_UNCONSTRAINED,4000,440461,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,1.0,kv_capacity,60000.0,462,20,kv_60000,0.0,0,0,0,0,0.060546875,31,512,0.5069333333333333,60000,0.5069333333333333,31,0.0026642895171195636,1.3641162327652165,1.0,0.033107088936364396,0.033107088936364396,0.00908139426646173,1.0,440461,462,3,VALID_UNCONSTRAINED,4000,440461,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,1.0,kv_capacity,32000.0,462,20,kv_32000,0.0,0,0,0,125,0.060546875,31,512,0.9505,32000,0.9505,31,0.0026642895171195636,1.3641162327652165,1.0,0.06207579175568326,0.06207579175568326,0.00908139426646173,1.0,440461,462,4,VALID_PARTIALLY_CONSTRAINED,4000,440461,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,0,0,20,0
0,1.0,kv_capacity,16000.0,451,20,kv_16000,2.7243997239274946e-05,12,0,2,2610,0.060546875,31,512,1.9009375,16000,1.9009375,31,0.002664164948781285,1.364052453776018,1.0,0.12415188315617169,0.12415188315617169,0.00914490173998329,1.0,440452,463,5,VALID_STRONGLY_CONSTRAINED,4000,440464,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,12,0,20,4
0,1.0,kv_capacity,8000.0,401,20,kv_8000,0.0002633430951894481,116,0,388,10224,0.060546875,31,512,3.80175,8000,3.80175,31,0.0026631608052963746,1.3635383323117438,1.0,0.24832127318440828,0.24832127318440828,0.01039978206088674,1.0,440374,492,6,VALID_STRONGLY_CONSTRAINED,4000,440490,industry_realism_action_opportunity_phase_b_v2.0.0,burstgpt,0,116,0,20,6
