canonical_scenario_id,source_dataset,anwg__full_prefill,slo__full_prefill,ttft_p95__full_prefill,tput__full_prefill,anwg__chunked_prefill_small,slo__chunked_prefill_small,ttft_p95__chunked_prefill_small,tput__chunked_prefill_small,anwg__estimated_service_time_first,slo__estimated_service_time_first,ttft_p95__estimated_service_time_first,tput__estimated_service_time_first,anwg__weighted_fair_share,slo__weighted_fair_share,ttft_p95__weighted_fair_share,tput__weighted_fair_share,anwg__least_laxity_first,slo__least_laxity_first,ttft_p95__least_laxity_first,tput__least_laxity_first,anwg__kv_constrained_online,slo__kv_constrained_online,ttft_p95__kv_constrained_online,tput__kv_constrained_online,anwg__official_vtc_joint_token_budget_remap,anwg__vllm_style_continuous_batching,slo__official_vtc_joint_token_budget_remap,slo__vllm_style_continuous_batching,ttft_p95__official_vtc_joint_token_budget_remap,ttft_p95__vllm_style_continuous_batching,tput__official_vtc_joint_token_budget_remap,tput__vllm_style_continuous_batching
PUBLIC_TRACE::azure_2023_conv::w16::augmented,azure_2023_conv,1.0,1.0,0.01087,66.159444,1.0,1.0,0.065676,65.811122,1.0,1.0,0.01087,66.159444,1.0,1.0,0.01087,66.159444,1.0,1.0,0.01087,66.159444,1.0,1.0,0.01087,66.159444,1.0,0.155,1.0,1.0,0.01087,0.006859,66.159444,0.590128
PUBLIC_TRACE::azure_2023_conv::w20::augmented,azure_2023_conv,1.0,1.0,0.010804,72.280448,1.0,1.0,0.065387,71.890726,1.0,1.0,0.010804,72.280448,1.0,1.0,0.010804,72.280448,1.0,1.0,0.010804,72.280448,1.0,1.0,0.010804,72.280448,1.0,0.02,1.0,1.0,0.010804,0.005457,72.280448,0.076565
PUBLIC_TRACE::azure_2023_conv::w24::augmented,azure_2023_conv,1.0,1.0,0.010646,67.613252,1.0,1.0,0.065188,67.340067,1.0,1.0,0.010646,67.613252,1.0,1.0,0.010646,67.613252,1.0,1.0,0.010646,67.613252,1.0,1.0,0.010646,67.613252,1.0,0.015,1.0,1.0,0.010646,0.004839,67.613252,0.057079
PUBLIC_TRACE::azure_2023_conv::w28::augmented,azure_2023_conv,1.0,1.0,0.012014,85.360649,1.0,1.0,0.065403,84.853627,1.0,1.0,0.012014,85.360649,1.0,1.0,0.012014,85.360649,1.0,1.0,0.012014,85.360649,1.0,1.0,0.012014,85.360649,1.0,0.055,1.0,1.0,0.012014,0.004333,85.360649,0.211738
PUBLIC_TRACE::azure_2023_conv::w32::augmented,azure_2023_conv,1.0,1.0,0.021229,81.566069,1.0,1.0,0.066416,80.160321,1.0,1.0,0.020274,81.366965,1.0,1.0,0.020274,81.366965,1.0,1.0,0.020274,81.366965,1.0,1.0,0.019095,81.366965,1.0,0.05,1.0,1.0,0.021229,0.003992,81.566069,0.192167
PUBLIC_TRACE::azure_2023_conv::w36::augmented,azure_2023_conv,1.0,1.0,0.011239,81.799591,1.0,1.0,0.065711,81.300813,1.0,1.0,0.011239,81.799591,1.0,1.0,0.011239,81.799591,1.0,1.0,0.011239,81.799591,1.0,1.0,0.011239,81.799591,1.0,0.0,1.0,1.0,0.011239,,81.799591,
PUBLIC_TRACE::azure_2023_conv::w40::augmented,azure_2023_conv,1.0,1.0,0.011676,83.298626,1.0,1.0,0.065908,82.884376,1.0,1.0,0.011676,83.298626,1.0,1.0,0.011676,83.298626,1.0,1.0,0.011676,83.298626,1.0,1.0,0.011676,83.298626,1.0,0.045,1.0,1.0,0.011676,0.005214,83.298626,0.17305
PUBLIC_TRACE::azure_2023_conv::w44::augmented,azure_2023_conv,1.0,1.0,0.015272,102.774923,1.0,1.0,0.065902,102.616727,1.0,1.0,0.015272,102.774923,1.0,1.0,0.015272,102.774923,1.0,1.0,0.015272,102.774923,1.0,1.0,0.015272,102.774923,1.0,0.025,1.0,1.0,0.015272,0.002825,102.774923,0.097084
PUBLIC_TRACE::azure_2023_conv::w48::augmented,azure_2023_conv,1.0,1.0,0.011983,97.799511,1.0,1.0,0.065952,97.040272,1.0,1.0,0.011983,97.799511,1.0,1.0,0.011983,97.799511,1.0,1.0,0.011983,97.799511,1.0,1.0,0.011983,97.799511,1.0,0.02,1.0,1.0,0.011983,0.005571,97.799511,0.077446
PUBLIC_TRACE::azure_2023_conv::w4::augmented,azure_2023_conv,1.0,1.0,0.010976,82.644628,1.0,1.0,0.065753,82.101806,1.0,1.0,0.010976,82.644628,1.0,1.0,0.010976,82.644628,1.0,1.0,0.010976,82.644628,1.0,1.0,0.010976,82.644628,1.0,0.015,1.0,1.0,0.010976,0.004582,82.644628,0.057547
PUBLIC_TRACE::azure_2023_conv::w52::augmented,azure_2023_conv,1.0,1.0,0.015212,99.651221,1.0,1.0,0.065934,98.96091,1.0,1.0,0.015212,99.651221,1.0,1.0,0.015212,99.651221,1.0,1.0,0.015212,99.651221,1.0,1.0,0.015212,99.651221,1.0,0.06,1.0,1.0,0.015212,0.004953,99.651221,0.232879
PUBLIC_TRACE::azure_2023_conv::w56::augmented,azure_2023_conv,1.0,1.0,0.011533,86.542622,1.0,1.0,0.065942,85.984523,1.0,1.0,0.011533,86.542622,1.0,1.0,0.011533,86.542622,1.0,1.0,0.011533,86.542622,1.0,1.0,0.011533,86.542622,1.0,0.0,1.0,1.0,0.011533,,86.542622,
PUBLIC_TRACE::azure_2023_conv::w60::augmented,azure_2023_conv,1.0,1.0,0.00845,96.758587,1.0,1.0,0.039689,96.107641,1.0,1.0,0.00845,96.758587,1.0,1.0,0.00845,96.758587,1.0,1.0,0.00845,96.758587,1.0,1.0,0.00845,96.758587,1.0,0.02,1.0,1.0,0.00845,0.005431,96.758587,0.077354
PUBLIC_TRACE::azure_2023_conv::w64::augmented,azure_2023_conv,1.0,1.0,0.009256,104.112441,1.0,1.0,0.046241,103.359173,1.0,1.0,0.009256,104.112441,1.0,1.0,0.009256,104.112441,1.0,1.0,0.009256,104.112441,1.0,1.0,0.009256,104.112441,1.0,0.0,1.0,1.0,0.009256,,104.112441,
PUBLIC_TRACE::azure_2023_conv::w68::augmented,azure_2023_conv,1.0,1.0,0.007775,68.259386,1.0,1.0,0.039038,67.934783,1.0,1.0,0.007775,68.259386,1.0,1.0,0.007775,68.259386,1.0,1.0,0.007775,68.259386,1.0,1.0,0.007775,68.259386,1.0,0.14,1.0,1.0,0.007775,0.007256,68.259386,0.534872
PUBLIC_TRACE::azure_2023_conv::w72::augmented,azure_2023_conv,1.0,1.0,0.007612,82.576383,1.0,1.0,0.0341,82.169269,1.0,1.0,0.007612,82.576383,1.0,1.0,0.007612,82.576383,1.0,1.0,0.007612,82.576383,1.0,1.0,0.007612,82.576383,1.0,0.025,1.0,1.0,0.007612,0.004095,82.576383,0.096182
PUBLIC_TRACE::azure_2023_conv::w76::augmented,azure_2023_conv,1.0,1.0,0.012223,83.787181,1.0,1.0,0.048213,83.298626,1.0,1.0,0.012223,83.787181,1.0,1.0,0.012223,83.787181,1.0,1.0,0.012223,83.787181,1.0,1.0,0.012223,83.787181,1.0,0.03,1.0,1.0,0.012223,0.005054,83.787181,0.115393
PUBLIC_TRACE::azure_2023_conv::w8::augmented,azure_2023_conv,1.0,1.0,0.010717,61.519532,1.0,1.0,0.06569,61.387354,1.0,1.0,0.010717,61.519532,1.0,1.0,0.010717,61.519532,1.0,1.0,0.010717,61.519532,1.0,1.0,0.010717,61.519532,1.0,0.04,1.0,1.0,0.010717,0.004886,61.519532,0.151406
PUBLIC_TRACE::burstgpt::w0::augmented,burstgpt,0.18,1.0,0.005125,0.178494,0.18,1.0,0.026125,0.178494,0.18,1.0,0.005125,0.178494,0.18,1.0,0.005125,0.178494,0.18,1.0,0.005125,0.178494,0.18,1.0,0.005125,0.178494,0.18,0.18,1.0,1.0,0.005125,0.005125,0.178494,0.178494
PUBLIC_TRACE::burstgpt::w1053::augmented,burstgpt,1.0,1.0,0.0035,59.862317,1.0,1.0,0.0035,59.844405,1.0,1.0,0.0035,59.862317,1.0,1.0,0.0035,59.862317,1.0,1.0,0.0035,59.862317,1.0,1.0,0.0035,59.862317,1.0,1.0,1.0,1.0,0.0035,0.0035,59.862317,59.862317
PUBLIC_TRACE::burstgpt::w1404::augmented,burstgpt,0.98,1.0,0.005125,0.969098,0.98,1.0,0.03,0.969098,0.98,1.0,0.005125,0.969098,0.98,1.0,0.005125,0.969098,0.98,1.0,0.005125,0.969098,0.98,1.0,0.005125,0.969098,0.98,0.955,1.0,1.0,0.005125,0.005,0.969098,0.955
PUBLIC_TRACE::burstgpt::w1755::augmented,burstgpt,1.0,1.0,0.0065,11.051556,1.0,1.0,0.022,11.042403,1.0,1.0,0.0065,11.051556,1.0,1.0,0.0065,11.051556,1.0,1.0,0.0065,11.051556,1.0,1.0,0.0065,11.051556,1.0,1.0,1.0,1.0,0.0065,0.0065,11.051556,11.051556
PUBLIC_TRACE::burstgpt::w2106::augmented,burstgpt,1.0,1.0,0.0145,20.136931,1.0,1.0,0.0555,20.088389,1.0,1.0,0.0145,20.136931,1.0,1.0,0.0145,20.136931,1.0,1.0,0.0145,20.136931,1.0,1.0,0.0145,20.136931,1.0,0.015,1.0,1.0,0.0145,0.00565,20.136931,0.05021
PUBLIC_TRACE::burstgpt::w2457::augmented,burstgpt,1.0,1.0,0.008,25.390377,1.0,1.0,0.0475,25.338908,1.0,1.0,0.008,25.390377,1.0,1.0,0.008,25.390377,1.0,1.0,0.008,25.390377,1.0,1.0,0.008,25.390377,1.0,0.01,1.0,1.0,0.0085,0.002,25.390377,0.034558
PUBLIC_TRACE::burstgpt::w2808::augmented,burstgpt,1.0,1.0,0.022025,50.620096,1.0,1.0,0.0495,50.466818,1.0,1.0,0.022025,50.620096,1.0,1.0,0.022025,50.620096,1.0,1.0,0.022025,50.620096,1.0,1.0,0.022025,50.620096,1.0,0.025,1.0,1.0,0.022025,0.0119,50.620096,0.09346
PUBLIC_TRACE::burstgpt::w3159::augmented,burstgpt,1.0,1.0,0.1857,18.299936,1.0,1.0,0.19805,18.279865,1.0,1.0,0.1809,18.299936,1.0,1.0,0.1809,18.299936,1.0,1.0,0.1809,18.299936,1.0,1.0,0.1809,18.299936,1.0,1.0,1.0,1.0,0.1857,0.1857,18.299936,18.299936
PUBLIC_TRACE::burstgpt::w3510::augmented,burstgpt,1.0,1.0,0.0205,43.715847,1.0,1.0,0.0405,43.468811,1.0,1.0,0.0205,43.715847,1.0,1.0,0.0205,43.715847,1.0,1.0,0.0205,43.715847,1.0,1.0,0.0205,43.715847,1.0,1.0,1.0,1.0,0.0205,0.0205,43.715847,43.715847
PUBLIC_TRACE::burstgpt::w351::augmented,burstgpt,1.0,1.0,0.0146,12.063454,1.0,1.0,0.05,12.03297,1.0,1.0,0.0146,12.063454,1.0,1.0,0.0146,12.063454,1.0,1.0,0.0146,12.063454,1.0,1.0,0.0146,12.063454,1.0,0.0,1.0,1.0,0.0146,,12.063454,
PUBLIC_TRACE::burstgpt::w3861::augmented,burstgpt,1.0,1.0,0.006,10.049746,1.0,1.0,0.0256,10.043186,1.0,1.0,0.006,10.049746,1.0,1.0,0.006,10.049746,1.0,1.0,0.006,10.049746,1.0,1.0,0.006,10.049746,1.0,1.0,1.0,1.0,0.006,0.006,10.049746,10.049746
PUBLIC_TRACE::burstgpt::w4212::augmented,burstgpt,1.0,1.0,0.005,25.106703,1.0,1.0,0.0155,25.028157,1.0,1.0,0.005,25.106703,1.0,1.0,0.005,25.106703,1.0,1.0,0.005,25.106703,1.0,1.0,0.005,25.106703,1.0,1.0,1.0,1.0,0.005,0.005,25.106703,25.106703
PUBLIC_TRACE::burstgpt::w4563::augmented,burstgpt,1.0,1.0,0.0055,2.18639,1.0,1.0,0.027525,2.186246,1.0,1.0,0.0055,2.18639,1.0,1.0,0.0055,2.18639,1.0,1.0,0.0055,2.18639,1.0,1.0,0.0055,2.18639,1.0,0.155,1.0,1.0,0.0055,0.0055,2.18639,0.219179
PUBLIC_TRACE::burstgpt::w4914::augmented,burstgpt,1.0,1.0,0.0035,9.905894,1.0,1.0,0.011,9.902461,1.0,1.0,0.0035,9.905894,1.0,1.0,0.0035,9.905894,1.0,1.0,0.0035,9.905894,1.0,1.0,0.0035,9.905894,1.0,1.0,1.0,1.0,0.0035,0.0035,9.905894,9.905894
PUBLIC_TRACE::burstgpt::w5265::augmented,burstgpt,1.0,1.0,0.02,19.357336,1.0,1.0,0.0525,19.275251,1.0,1.0,0.02,19.357336,1.0,1.0,0.02,19.357336,1.0,1.0,0.02,19.357336,1.0,1.0,0.02,19.357336,1.0,0.005,1.0,1.0,0.02,0.003,19.357336,0.016615
PUBLIC_TRACE::burstgpt::w5616::augmented,burstgpt,1.0,1.0,0.0055,1.203398,1.0,1.0,0.033,1.203065,1.0,1.0,0.0055,1.203398,1.0,1.0,0.0055,1.203398,1.0,1.0,0.0055,1.203398,1.0,1.0,0.0055,1.203398,1.0,0.725,1.0,1.0,0.0055,0.0055,1.203398,0.725
PUBLIC_TRACE::burstgpt::w5967::augmented,burstgpt,1.0,1.0,0.0045,4.608083,1.0,1.0,0.02205,4.60596,1.0,1.0,0.0045,4.608083,1.0,1.0,0.0045,4.608083,1.0,1.0,0.0045,4.608083,1.0,1.0,0.0045,4.608083,1.0,1.0,1.0,1.0,0.0045,0.0045,4.608083,4.608083
PUBLIC_TRACE::burstgpt::w6318::augmented,burstgpt,1.0,1.0,0.0065,44.913541,1.0,1.0,0.016025,44.672772,1.0,1.0,0.0065,44.913541,1.0,1.0,0.0065,44.913541,1.0,1.0,0.0065,44.913541,1.0,1.0,0.0065,44.913541,1.0,1.0,1.0,1.0,0.0065,0.0065,44.913541,44.913541
PUBLIC_TRACE::burstgpt::w6669::augmented,burstgpt,0.945,1.0,0.003,0.682003,0.945,1.0,0.0055,0.682003,0.945,1.0,0.003,0.682003,0.945,1.0,0.003,0.682003,0.945,1.0,0.003,0.682003,0.945,1.0,0.003,0.682003,0.945,0.92,1.0,1.0,0.003,0.0025,0.682003,0.92
PUBLIC_TRACE::burstgpt::w702::augmented,burstgpt,1.0,1.0,0.009,50.556117,1.0,1.0,0.049,50.543341,1.0,1.0,0.009,50.556117,1.0,1.0,0.009,50.556117,1.0,1.0,0.009,50.556117,1.0,1.0,0.009,50.556117,1.0,0.06,1.0,1.0,0.009025,0.0025,50.556117,0.22326
